小说分类,id,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分
军事历史,3238.2652482269505,5133577.565957447,238201.27234042552,313.2113475177305,7426719.14893617,20.90354609929078,15.748936170212765,10.0
同人小说,2791.7103274559195,5498073.5799748115,171200.51763224183,136.13035264483628,10977663.098236775,8.726070528967254,33.28652392947103,10.0
女生小说,3081.25,2152823.0,165903.25,140.75,22525500.0,18.25,0.0,10.0
恐怖灵异,2881.9427083333335,5592016.84375,214651.03125,261.4427083333333,7895932.291666667,7.276041666666667,16.005208333333332,10.0
武侠仙侠,2904.567741935484,5811113.829032258,176722.61612903225,113.28709677419354,7267700.0,10.580645161290322,18.061290322580646,10.0
玄幻奇幻,3242.068587105624,4541547.620027435,311530.58847736625,263.69821673525377,5458835.390946502,28.910836762688614,15.713305898491084,10.0
科幻网游,2839.0694789081886,5168290.853598014,256521.98759305212,166.53101736972704,6892042.183622829,7.5334987593052105,15.071960297766749,10.0
轻小说,2693.551724137931,3630850.3103448274,121060.4827586207,65.27586206896552,15366724.137931034,6.482758620689655,3.3448275862068964,10.0
都市言情,2953.4084321475625,4464251.828722003,259385.46113306982,160.6106719367589,6928810.93544137,12.147562582345191,8.668642951251647,10.0
青春校园,2997.1,9705453.9,444441.8,1519.2,4234800.0,3.9,15.6,10.0
