id,名称,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分,好评人数,小说分类
0,大明：我皇孙身份被朱元璋曝光了,20325742,6584782,14440,584000.0,255,8,10,280663人,军事历史
1,大秦：我杀敌就可以升级成神,1959738,724690,543,526000.0,862,6,10,39636人,玄幻奇幻
2,大秦：从弃婴到千古一帝,3803056,965302,485,883000.0,409,0,10,50133人,军事历史
3,四合院：感谢不嫁之恩,1248536,248866,18,80640000.0,219,0,10,19136人,同人小说
4,抗战：跟着李云龙混成将军,1240037,274563,185,85000.0,200,1,10,23051人,军事历史
5,三国：金榜倒数，开局被刘备赶走,1852953,181699,83,11000.0,141,0,10,15978人,军事历史
6,体内弹片误触警报，一身伤疤曝光,2358775,146487,223,53760000.0,34,1,10,9021人,军事历史
7,大秦：公子冥王，开局镇杀荆轲,1195120,261219,68,13000.0,289,0,10,18415人,军事历史
8,快苟到仙王的我，被诸天视频曝光,1854571,361921,152,181000.0,286,1,10,27937人,玄幻奇幻
9,妖妖灵让我拍宣传片，我拍无间道,4098245,591499,295,50000.0,84,0,10,42782人,都市言情
10,权倾朝野，皇子身份假,3304634,470948,242,528000.0,201,0,10,50051人,玄幻奇幻
11,直播：我和周周试婚，科研家曝光,1261512,206296,30,1115000.0,122,0,10,10124人,都市言情
12,殿下，先别打罗马，大秦快亡了！,1046859,244265,19,363000.0,35,0,10,5259人,军事历史
13,四合院：谁惹我，坑哭谁,3453123,1399844,407,750000.0,101,0,10,74336人,都市言情
14,疯了吧！我为什么会有两个孩子！,1470281,234036,44,455000.0,70,0,10,11515人,都市言情
15,全球末日，我进化成了行星级巨兽,3518938,1956915,373,401000.0,459,4,10,164688人,都市言情
16,长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,137000.0,74,0,10,8009人,都市言情
17,全球杀戮：开局觉醒sss级天赋,5052553,1824626,1331,673000.0,480,2,10,130748人,玄幻奇幻
18,全民转职：我选择了无职散人,3143161,1342919,242,163000.0,507,1,10,90458人,都市言情
19,大明：刚要造反，被封一字并肩王,2648989,150881,50,3203000.0,58,0,10,10902人,军事历史
20,让你们攻打梁山，全投降了？,1058419,222438,100,328000.0,93,0,10,14849人,军事历史
21,四合院：传承天师，开局坑惨贾家,670309,82369,7,5000000.0,46,0,10,4702人,同人小说
22,睁开眼，同桌宝藏女孩在眼前！,1665041,794939,603,1003000.0,335,7,10,32271人,都市言情
23,全民天师：我的金光咒能无限升级,1423185,334751,89,16000.0,76,0,10,20916人,恐怖灵异
24,我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,31000.0,59,0,10,18281人,都市言情
25,十绝阵被破，申公豹请我出山,1898741,205110,93,32880000.0,73,1,10,18147人,玄幻奇幻
26,人人一颗星球：开局打造科技文明,2575983,703383,647,79000.0,493,2,10,49806人,玄幻奇幻
27,四合院：从大茂邻居开始,715343,109320,23,302000.0,48,0,10,5040人,同人小说
28,授徒万倍返还：为师从来不藏私,1959190,342780,216,23000.0,146,1,10,34649人,玄幻奇幻
29,我要做昏君！败坏国运我能成仙！,1655626,165214,74,218000.0,138,0,10,15720人,军事历史
30,忍界金榜：开局被曝光是宇智波,810829,95602,36,227000.0,74,1,10,9998人,同人小说
31,拍摄特一，百万考生报名参军,969406,137146,17,154000.0,53,1,10,5014人,军事历史
32,荣耀城堡：我招募天使，横扫万界,10243379,2674456,1396,333000.0,131,2,10,194220人,玄幻奇幻
33,洪荒：师尊去封神，我却解散截教,1032239,114928,22,601000.0,20,0,10,1390人,玄幻奇幻
34,田径：我，短跑之王,1195016,322008,82,320000.0,261,1,10,16547人,都市言情
35,全提瓦特大陆都方了，能不直播吗,1760507,314839,144,34000.0,112,0,10,21302人,同人小说
36,全球精灵：精灵都是病娇怎么办？,1075072,213365,88,191000.0,110,0,10,21087人,同人小说
37,报告首长，母舰凌霄宝殿已就位！,1816935,290968,258,208000.0,100,1,10,14948人,都市言情
38,大清：从麻匪头子到世界级帝王,2467739,355267,66,15000.0,59,0,10,29738人,军事历史
39,西游：开局拍卖一方世界！,1944195,162975,90,23000.0,43,0,10,17536人,武侠仙侠
40,武侠：宅在同福的天机公子,1248699,174373,18,550000.0,49,0,10,10084人,武侠仙侠
41,武侠：我的仙人身份被曝光了,3079487,160201,224,84280000.0,33,0,10,15635人,武侠仙侠
42,洪荒：我赵公明也是有追求的,760679,88225,5,7880000.0,41,0,10,4769人,武侠仙侠
43,当兵：从军校开始,9415042,2354834,779,188000.0,164,0,10,148258人,军事历史
