名称,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分,好评人数,小说分类
大明：我皇孙身份被朱元璋曝光了,20325742,6584782,14440,58.4万,255,8,10,280663人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803056,965302,485,88.3万,409,0,10,50133人,军事历史
四合院：感谢不嫁之恩,1248536,248866,18,8064,219,0,10,19136人,同人小说
抗战：跟着李云龙混成将军,1240037,274563,185,8.5万,200,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195120,261219,68,1.3万,289,0,10,18415人,军事历史
快苟到仙王的我，被诸天视频曝光,1854571,361921,152,18.1万,286,1,10,27937人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4098245,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1261512,206296,30,111.5万,122,0,10,10124人,都市言情
殿下，先别打罗马，大秦快亡了！,1046859,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1470281,234036,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
全球杀戮：开局觉醒sss级天赋,5052553,1824626,1331,67.3万,480,2,10,130748人,玄幻奇幻
全民转职：我选择了无职散人,3143161,1342919,242,16.3万,507,1,10,90458人,都市言情
大明：刚要造反，被封一字并肩王,2648989,150881,50,320.3万,58,0,10,10902人,军事历史
让你们攻打梁山，全投降了？,1058419,222438,100,32.8万,93,0,10,14849人,军事历史
