职位名称,公司名称,工作地点,参考月薪,学历,发布时间
中级nlp算法工程师,厦门快商通科技股份有限公司,厦门市,,硕士研究生,2021-11-07 21:24
算法开发工程师,厦门快商通科技股份有限公司,厦门市集美区,9000-16000,本科,2021-11-07 21:24
NLP算法工程师,厦门快商通科技股份有限公司,厦门市集美区,,硕士研究生,2021-11-07 21:24
算法软件工程师,福建宏泰智能工业互联网有限公司,厦门市翔安区,9000-18000,本科,2021-11-07 20:03
算法工程师,厦门新声科技有限公司,厦门市翔安区,15000-25000,本科,2021-11-07 19:35
图形图像算法工程师,厦门探雅科技有限公司,厦门市、厦门市思明区,8000-15000,本科,2021-11-07 15:33
机器视觉算法工程师,厦门嵘拓物联科技有限公司,厦门市思明区,10000-20000,本科,2021-11-07 13:42
AI算法工程师,厦门嵘拓物联科技有限公司,厦门市思明区,10000-20000,本科,2021-11-07 13:42
算法工程师,厦门美立声科技有限公司,厦门市湖里区,8000-12000,,2021-11-07 11:52
算法工程师,厦门南讯股份有限公司,厦门市、厦门市思明区,,本科,2021-11-07 11:05
SLAM算法工程师,福建省海峡智汇科技有限公司,厦门市集美区,9000-15000,本科,2021-11-06 17:21
机器视觉算法助理工程师,福建省海峡智汇科技有限公司,福建省、厦门市集美区,8000-10000,大专,2021-11-06 17:21
算法工程师（路径规划和运动控制算法）,福建省海峡智汇科技有限公司,厦门市集美区,15000-20000,本科,2021-11-06 17:21
机器视觉算法研发工程师,福建省海峡智汇科技有限公司,福建省、厦门市、厦门市集美区,12000-24000,硕士研究生,2021-11-06 17:21
机器视觉算法应用工程师,福建省海峡智汇科技有限公司,厦门市集美区,12000-15000,本科,2021-11-06 17:21
算法工程师,埃美特（厦门）科技有限公司,厦门市,6000-12000,本科,2021-11-06 17:03
图像/视觉算法工程师,明见（厦门）技术有限公司,厦门市湖里区,,本科,2021-11-06 15:45
自动驾驶控制算法工程师,明见（厦门）技术有限公司,厦门市集美区,,本科,2021-11-06 15:45
视觉定位与建图算法工程师,明见（厦门）技术有限公司,厦门市湖里区,,硕士研究生,2021-11-06 15:45
图像算法工程师（应届生）,明见（厦门）技术有限公司,厦门市湖里区,,硕士研究生,2021-11-06 15:45
高级图像算法工程师,明见（厦门）技术有限公司,厦门市湖里区,,本科,2021-11-06 15:45
图像算法工程师,厦门思泰克智能科技股份有限公司,厦门市湖里区,12000-18000,本科,2021-11-06 10:58
图像算法[实习],厦门思泰克智能科技股份有限公司,厦门市湖里区,3000-5000,无,2021-11-06 10:58
图像算法工程师（2022届）,厦门松霖科技股份有限公司,厦门市海沧区,7000-12000,硕士研究生,2021-11-06 10:30
算法工程师,厦门威芯泰科技有限公司,厦门市集美区,10000-20000,本科,2021-11-06 10:23
图像算法工程师 [实习],厦门云感科技有限公司,厦门市思明区,面谈,本科,2021-11-06 10:15
图像算法工程师,厦门云感科技有限公司,厦门市思明区,5000-10000,本科,2021-11-06 10:15
算法工程师,厦门特仪科技有限公司,厦门市同安区,10000-15000,本科,2021-11-06 09:54
密码算法工程师,北京中盾安邦数据技术有限公司,福建省、泉州市,12000-20000,本科,2021-11-06 09:23
深度学习算法工程师,三固（厦门）科技有限公司,厦门市海沧区,15000-30000,硕士研究生,2021-11-06 08:29
算法工程师,麦克奥迪实业集团有限公司,厦门市、厦门市湖里区,,本科,2021-11-05 22:23
NLP算法工程师,厦门凤凰创壹软件有限公司,厦门市,12000-20000,硕士研究生,2021-11-05 18:04
算法工程师（机械故障诊断方向）,厦门物之联智能科技有限公司,厦门市、厦门市集美区,12000-20000,本科,2021-11-05 18:00
图像算法工程师,厦门星纵智能科技有限公司,厦门市,,本科,2021-11-05 15:42
算法软件工程师,安捷睿（厦门）机器人有限公司,厦门市,15000-30000,本科,2021-11-05 15:19
超声波雷达算法工程师,厦门睿佳贤信息咨询有限公司,厦门市、厦门市思明区,20000-30000,本科,2021-11-05 15:06
算法工程师,厦门聚视智创科技有限公司,厦门市集美区,8000-13000,大专,2021-11-05 14:56
图像识别算法工程师,高时（厦门）石业有限公司,厦门市、厦门市同安区,10000-15000,,2021-11-05 14:37
图像算法工程师（应届生）,厦门微亚智能科技有限公司,厦门市,10000-20000,硕士研究生,2021-11-05 14:07
深度学习算法工程师（应届生）,厦门微亚智能科技有限公司,厦门市,10000-20000,硕士研究生,2021-11-05 14:07
3D/点云算法工程师,厦门微亚智能科技有限公司,厦门市,10000-20000,硕士研究生,2021-11-05 14:07
