职位名称,公司名称,工作地点,参考月薪,学历,发布时间
PYTHON爬虫数据分析师,同溢堂药业有限公司,漳州市,10000-15000,,2021-11-07 09:46
数据分析员,厦门恩仕米特网络科技有限公司,厦门市思明区,,大专,2021-11-06 18:58
大数据分析,福建普乐惠电子商务有限公司,厦门市湖里区,5000-8000,大专,2021-11-06 10:25
数据分析主管/专员,厦门强力巨彩光电科技有限公司,厦门市、厦门市翔安区,7000-10000,大专,2021-11-06 08:58
数据分析工程师,京北方信息技术股份有限公司厦门分公司,厦门市,10000-20000,本科,2021-11-05 17:17
数据分析工程师,厦门嘉乐道管理咨询有限公司,厦门市、福建省,,,2021-11-05 16:40
数据分析工程师,厦门聚视智创科技有限公司,苏州市,15000-23000,本科,2021-11-05 14:56
游戏数据分析师,厦门勇仕网络技术股份有限公司,厦门市湖里区,9000-14000,本科,2021-11-05 11:15
大数据分析工程师,厦门星座卫星应用研究院有限公司,厦门市集美区、福建省、厦门市,10000-15000,硕士研究生,2021-11-05 10:06
数据分析专家,厦门易驰软件有限公司,厦门市思明区,8000-16000(底薪：8000-16000+提成),大专,2021-11-05 09:52
运维数据分析工程师,中交（厦门）电子商务有限公司,厦门市集美区,,本科,2021-11-05 08:56
IT数据分析工程师,厦门厦顺铝箔有限公司,福建省、厦门市、厦门市海沧区,,本科,2021-11-04 19:25
数据分析师,祺临数据技术（厦门）有限公司,福建省、厦门市、厦门市思明区,10000-20000,本科,2021-11-04 17:19
数据分析师,厦门市明源云智慧科技有限公司,厦门市,6000-10000,大专,2021-11-04 09:10
数据分析工程师,厦门天马微电子有限公司,厦门市翔安区,9000-12000,,2021-11-03 14:18
管培生（数据分析方向）,厦门金峰房地产开发有限公司,厦门市思明区,,本科,2021-11-01 16:12
数据分析师,厦门金峰房地产开发有限公司,厦门市思明区,,本科,2021-11-01 16:12
数据分析高级工程师,安踏体育用品集团有限公司,厦门市思明区,15000-20000,本科,2021-11-01 11:24
数据分析师,厦门市派美特科技有限公司,厦门市集美区,8000-12000,大专,2021-11-01 09:48
数据分析专员,厦门特宝生物工程股份有限公司,厦门市,,本科,2021-10-28 19:55
高级数据分析师,中电金信软件有限公司,厦门市思明区,20000-25000,本科,2021-10-26 23:37
数据分析工程师,双驰实业股份有限公司,莆田市,7000-10000,本科,2021-10-25 16:27
数据分析岗（集团本部）,联发集团有限公司,厦门市湖里区,15000-25000,本科,2021-10-25 14:19
大数据分析服务工程师,厦门市美亚柏科信息股份有限公司,厦门市,10000-20000,本科,2021-10-25 13:19
中级数据分析工程师,科技谷（厦门）信息技术有限公司,厦门市,10000-15000,本科,2021-10-22 10:07
