职位名称,公司名称,工作地点,参考月薪,学历,发布时间
Android开发,厦门市恒连网络科技有限公司,厦门市,8000-10000,大专,2021-11-07 21:30
Android安卓中级工程师,厦门宇客云网络科技有限公司,厦门市思明区,10000-13000,本科,2021-11-07 16:06
Android开发工程师,厦门盈趣科技股份有限公司,厦门市海沧区,7500-15000,本科,2021-11-06 20:23
Android应用开发,厦门卓技信息技术有限公司,厦门市思明区,8000-15000,本科,2021-11-06 17:05
Android系统工程师,宸展光电（厦门）股份有限公司,厦门市集美区,8000-15000,,2021-11-06 16:26
Android开发工程师,厦门盈趣汽车电子有限公司,厦门市海沧区,,本科,2021-11-06 15:14
智能研发 -Android工程师（2022应届生） [实习],厦门狄耐克智能科技股份有限公司,厦门市湖里区、厦门市海沧区,6000-10000元/月,无,2021-11-06 14:00
智能海外-android工程师,厦门狄耐克智能科技股份有限公司,厦门市湖里区,,本科,2021-11-06 14:00
Android开发工程师,赛客（厦门）医疗器械有限公司,厦门市海沧区、厦门市思明区,,本科,2021-11-06 13:50
Android开发工程师,厦门立林科技有限公司,厦门市、厦门市集美区,8000-13000,本科,2021-11-06 12:36
android高级工程师,厦门星罗网络科技有限公司,厦门市,,本科,2021-11-06 11:48
APP高级工程师（Android）,厦门阳光恩耐照明有限公司,厦门市海沧区,,本科,2021-11-06 08:43
Android应用工程师,厦门厦华科技有限公司,厦门市集美区,,本科,2021-11-06 08:39
Android系统工程师,厦门厦华科技有限公司,厦门市集美区,,本科,2021-11-06 08:39
Android开发实习生（全职）,厦门创世线程科技有限公司,福建省、厦门市、厦门市思明区,3000-5000,大专,2021-11-05 19:14
Android开发工程师,厦门同迈科技有限公司,厦门市思明区,6000-12000,本科,2021-11-05 17:48
中级Android工程师,天阳宏业科技股份有限公司,厦门市思明区,9000-13000,大专,2021-11-05 17:11
Android研发工程师,厦门正航软件科技有限公司,厦门市思明区,8000-12000,本科,2021-11-05 15:57
Android开发工程师（应届生）,厦门英诺尔电子科技股份有限公司,厦门市同安区,5000-10000,本科,2021-11-05 15:55
Android安卓研发工程师,厦门誉诚科威安全技术开发有限公司,厦门市湖里区,,本科,2021-11-05 14:24
Android系统底层工程师,厦门顶尖电子有限公司,厦门市湖里区,,,2021-11-05 13:34
Android开发工程师,阳光康健（厦门）科技有限公司,厦门市,10000-20000,本科,2021-11-05 13:21
android软件工程师,厦门易驰软件有限公司,厦门市思明区,6000-12000,大专,2021-11-05 09:52
Android开发工程师,厦门浮点网络科技有限公司,厦门市,10000-15000,,2021-11-05 09:43
Android开发工程师,厦门市礼小签电子科技有限公司,厦门市,15000-20000,,2021-11-05 09:30
AndroidFramework工程师,芜湖盟博科技有限公司,厦门市思明区,10000-20000,本科,2021-11-05 09:27
android开发工程师,芜湖盟博科技有限公司,厦门市思明区,8000-15000,大专,2021-11-05 09:27
Android开发工程师,厦门市巨龙信息科技有限公司,厦门市集美区,10000-15000,大专,2021-11-05 09:23
Android工程师,厦门市易联众易惠科技有限公司,厦门市思明区,10000-20000,本科,2021-11-05 09:22
Android程序员,厦门中智信系统集成有限公司,厦门市思明区,8000-12000,本科,2021-11-05 09:04
Android工程师（中级/初级）,厦门链石网络科技有限公司,厦门市思明区,8000-15000,,2021-11-05 09:00
Android软件开发工程师,维迅科技（厦门）有限公司,厦门市集美区,8000-13000,大专,2021-11-04 16:34
Android应用开发工程师,新诺北斗航科信息技术（厦门）股份有限公司,厦门市集美区,8000-12000,本科,2021-11-04 14:06
Android开发工程师,厦门知市科技有限公司,厦门市、厦门市集美区,10000-15000,大专,2021-11-04 12:58
Android开发实习生/初级,厦门知市科技有限公司,厦门市集美区,3500-7000,,2021-11-04 12:58
Android中/高级工程师,厦门大洋通信有限公司,厦门市湖里区,,本科,2021-11-04 11:47
Android开发工程师,厦门仁优网络科技有限公司,厦门市,12000-20000,大专,2021-11-04 09:07
Android研发工程师,厦门市虫虫网络科技有限公司,厦门市、厦门市思明区,10000-20000,大专,2021-11-03 14:54
安卓工程师/Android工程师,厦门集恩图造信息科技股份有限公司,厦门市思明区,7000-10000,,2021-11-03 13:48
