职位名称,公司名称,工作地点,参考月薪,学历,发布时间
大数据开发工程师,四三九九网络股份有限公司,厦门市、厦门市思明区,,本科,2021-11-07 10:14
大数据分析,福建普乐惠电子商务有限公司,厦门市湖里区,5000-8000,大专,2021-11-06 10:25
云计算大数据开发助理工程师,厦门谦迅达网络科技有限公司,厦门市、厦门市思明区,4000-6000,大专,2021-11-06 08:23
大数据开发助理,厦门森蓝互动信息技术有限公司,厦门市、厦门市思明区、厦门市翔安区、厦门市同安区、厦门市集美区、厦门市海沧区、厦门市湖里区,3800-5000,大专,2021-11-06 08:23
大数据开发工程师,厦门求同信息科技有限公司,厦门市湖里区,10000-20000(底薪：10000-15000+提成),,2021-11-05 18:00
大数据开发工程师,厦门正观易知科技有限公司,厦门市思明区,10000-20000,本科,2021-11-05 17:19
大数据架构师,京北方信息技术股份有限公司厦门分公司,厦门市思明区,15000-25000,本科,2021-11-05 17:17
大数据工程师,京北方信息技术股份有限公司厦门分公司,厦门市,10000-20000,本科,2021-11-05 17:17
大数据技术与应用专业教师,泉州海洋职业学院,厦门市,4000-6000,本科,2021-11-05 16:02
高级大数据工程师,汉纳森（厦门）数据股份有限公司,厦门市思明区,,本科,2021-11-05 15:20
高级大数据开发工程师,厦门睿佳贤信息咨询有限公司,厦门市,20000-30000,本科,2021-11-05 15:06
Java软件工程师（大数据部门）,厦门同步天成软件股份有限公司,厦门市思明区,6000-12000,大专,2021-11-05 15:05
大数据工程师（应届生）,厦门微亚智能科技有限公司,厦门市,9000-16000,本科,2021-11-05 14:07
大数据分析工程师,厦门星座卫星应用研究院有限公司,厦门市集美区、福建省、厦门市,10000-15000,硕士研究生,2021-11-05 10:06
大数据平台工程师,厦门易驰软件有限公司,厦门市,5000-10000,大专,2021-11-05 09:52
大数据挖掘开发工程师,厦门卫星定位应用股份有限公司,厦门市,,本科,2021-11-05 09:25
大数据开发工程师,厦门云评众联科技有限公司,厦门市、厦门市思明区,15000-25000,本科,2021-11-05 09:21
大数据研发工程师,厦门蓝海天信息技术有限公司,厦门市集美区,8000-10000,本科,2021-11-05 09:19
大数据架构师,厦门威尔信息技术有限公司,厦门市、厦门市思明区、厦门市集美区,,本科,2021-11-05 08:53
大数据工程师（管培生）,白鸽在线（厦门）网络科技有限公司,厦门市湖里区,8000-15000,,2021-11-05 08:41
大数据与挖掘工程师,白鸽在线（厦门）网络科技有限公司,厦门市,10000-15000,本科,2021-11-05 08:41
大数据工程师,厦门民航凯亚有限公司,厦门市思明区,10000-15000,本科,2021-11-04 14:31
JAVA研发工程师（大数据开发）,厦门美亚亿安信息科技有限公司,厦门市思明区,10000-15000,本科,2021-11-04 13:45
大数据开发工程师,中乔体育股份有限公司,厦门市湖里区,6000-10000,大专,2021-11-04 13:35
初级软件工程师（大数据） [实习],厦门至恒融兴信息技术股份有限公司,厦门市,2000,本科,2021-11-04 09:21
大数据工程师,厦门至恒融兴信息技术股份有限公司,厦门市,7000-14000,本科,2021-11-04 09:21
Python工程师/大数据开发工程师,厦门热工环保系统工程有限公司,厦门市湖里区,10000-20000,本科,2021-11-03 21:30
大数据开发工程师,厦门傲播网络科技有限公司,厦门市,15000-20000,大专,2021-11-03 13:47
大数据解决方案工程师,厦门海创世纪科技有限公司,厦门市,10000-15000,本科,2021-11-03 09:53
大数据运维工程师（软二）,厦门澜海人力资源顾问有限公司,厦门市,6000-10000,本科,2021-11-01 14:11
大数据开发工程师,福建恒安集团有限公司,泉州市,6000-10000,本科,2021-10-29 14:32
大数据架构,厦门海晟融创信息技术有限公司,厦门市,20000-30000,本科,2021-10-28 16:57
资深大数据治理工程师,厦门服云信息科技有限公司,厦门市思明区,15000-25000,,2021-10-27 11:05
开发工程师（大数据开发工程师）,罗普特科技集团股份有限公司,厦门市思明区,15000-25000,本科,2021-10-27 09:19
大数据研发工程师,厦门市美亚柏科信息股份有限公司,厦门市,,本科,2021-10-25 13:20
大数据顶规架构师（博士）,厦门市美亚柏科信息股份有限公司,北京市、厦门市,20000-40000,博士研究生,2021-10-25 13:19
大数据分析服务工程师,厦门市美亚柏科信息股份有限公司,厦门市,10000-20000,本科,2021-10-25 13:19
大数据培训讲师,厦门市美亚柏科信息股份有限公司,厦门市同安区,8000-10000,本科,2021-10-25 13:19
大数据开发,厦门壹生信息科技有限公司,厦门市思明区,10000-20000,,2021-10-25 09:46
大数据运维工程师,厦门立马耀网络科技有限公司,厦门市思明区,13000-25000,本科,2021-10-22 11:30
中级大数据开发工程师,科技谷（厦门）信息技术有限公司,厦门市、上海市,12000-20000,本科,2021-10-22 10:07
大数据研发工程师-福州,中电福富信息科技有限公司,福州市,,本科,2021-10-21 16:13
大数据研发工程师,厦门久银信息技术有限公司,厦门市、厦门市思明区,15000-20000,大专,2021-10-19 10:27
大数据开发,厦门市和家健脑智能科技有限公司,福州市,11000-20000,本科,2021-10-11 11:48
