职位名称,公司名称,工作地点,参考月薪,学历,发布时间
嵌入式软件工程师,厦门升毅诚科技有限公司,厦门市集美区,10000-20000,,2021-11-07 21:11
嵌入式软件工程师,福建宏泰智能工业互联网有限公司,厦门市翔安区、厦门市思明区,8000-16000,本科,2021-11-07 20:03
嵌入式软件工程师,厦门佳因特科技有限公司,厦门市海沧区,15000-30000,本科,2021-11-07 17:38
嵌入式应用开发工程师（急聘）,厦门蓝斯通信股份有限公司,厦门市集美区,8000-15000,本科,2021-11-07 10:41
嵌入式驱动开发工程师,厦门蓝斯通信股份有限公司,厦门市集美区,8000-15000,本科,2021-11-07 10:41
嵌入式软件工程师,安邦（厦门）生物科技有限公司,厦门市海沧区,,大专,2021-11-07 09:27
嵌入式软件工程师,厦门凯立五金企业有限公司,厦门市海沧区,10000-20000,本科,2021-11-07 02:05
嵌入式工程师,厦门企非电子有限公司,厦门市集美区,8000-10000,,2021-11-07 00:25
嵌入式软件工程师（2022校园招聘）,厦门盈趣科技股份有限公司,厦门市海沧区,,本科,2021-11-06 20:23
嵌入式软件工程师,厦门盈趣科技股份有限公司,厦门市海沧区,7500-15000,本科,2021-11-06 20:23
嵌入式硬件开发工程师,福建省海峡智汇科技有限公司,福建省、厦门市、厦门市集美区,8000-15000,本科,2021-11-06 17:21
高级嵌入式软件工程师,福建省海峡智汇科技有限公司,厦门市、厦门市集美区,8000-15000,本科,2021-11-06 17:21
嵌入式软件研发工程师,漳州市利利普电子科技有限公司,漳州市,,本科,2021-11-06 16:56
嵌入式工程师/FW工程师,宸展光电（厦门）股份有限公司,厦门市集美区,,无,2021-11-06 16:26
嵌入式开发软件工程师,明见（厦门）技术有限公司,厦门市湖里区,,本科,2021-11-06 15:45
嵌入式软件工程师,厦门盈趣汽车电子有限公司,厦门市海沧区,,本科,2021-11-06 15:14
嵌入式研发工程师（C编程）,厦门视虹科技有限公司,厦门市翔安区,8000-16000,,2021-11-06 14:50
嵌入式软件工程师,厦门海菱科技股份有限公司,厦门市湖里区,8000-13000,本科,2021-11-06 14:26
智能研发 -嵌入式软件工程师（2022应届生） [实习],厦门狄耐克智能科技股份有限公司,厦门市、厦门市海沧区,6000-10000元/月,无,2021-11-06 14:00
智能海外-嵌入式工程师,厦门狄耐克智能科技股份有限公司,厦门市湖里区,,本科,2021-11-06 14:00
嵌入式开发工程师（单片机方向）,赛客（厦门）医疗器械有限公司,厦门市思明区、厦门市海沧区,,本科,2021-11-06 13:50
嵌入式软件工程师-linux,厦门安明丽光电科技有限公司,厦门市集美区,,本科,2021-11-06 13:09
嵌入式软件工程师-linux,厦门亚锝电子科技有限公司,厦门市集美区,,本科,2021-11-06 13:08
嵌入式软件工程师-linux,厦门亚锝智能有限公司,厦门市集美区,10000-18000,本科,2021-11-06 13:08
嵌入式软件工程师（智能锁）,厦门立林科技有限公司,厦门市,,本科,2021-11-06 12:36
嵌入式单片机开发,厦门立林科技有限公司,厦门市集美区,8000-15000,本科,2021-11-06 12:36
嵌入式软件开发工程师,厦门云感科技有限公司,厦门市思明区,6000-12000,本科,2021-11-06 10:15
嵌入式Linux软件工程师,福建亿力天龙集团股份有限公司,厦门市同安区,,大专,2021-11-06 09:23
嵌入式软件工程师,厦门奥佳华智能健康设备有限公司,厦门市集美区,,大专,2021-11-06 09:14
