职位名称,公司名称,工作地点,参考月薪,学历,发布时间
软件架构师,厦门冠科科技有限公司,厦门市思明区,20000-30000,本科,2021-11-07 17:46
架构师(架构师),厦门南讯股份有限公司,厦门市、厦门市思明区,,本科,2021-11-07 11:05
前端架构师,福建首冠电力科技工程有限公司,厦门市,,本科,2021-11-07 10:19
架构师(架构师),厦门云之巅信息技术有限公司,厦门市、厦门市集美区,16000-25000,大专,2021-11-06 21:18
首席技术官/CTO/总架构师,厦门雷迅科微电子股份有限公司,厦门市、厦门市同安区,,本科,2021-11-06 15:23
JAVA系统架构师,厦门导航者软件科技有限公司,厦门市思明区,,本科,2021-11-06 11:40
高级JAVA架构师,厦门农芯数字科技有限公司,厦门市湖里区,15000-30000,本科,2021-11-05 17:59
大数据架构师,京北方信息技术股份有限公司厦门分公司,厦门市思明区,15000-25000,本科,2021-11-05 17:17
高级JAVA发工程师/架构师,厦门嘉乐道管理咨询有限公司,福建省、厦门市、福州市,25000-35000,本科,2021-11-05 16:40
.Net系统架构师,厦门正航软件科技有限公司,厦门市思明区,8000-12000,本科,2021-11-05 15:57
架构师(架构师),福建新时颖电子商务有限公司,厦门市,20000-35000,,2021-11-05 15:34
Java架构师,厦门睿佳贤信息咨询有限公司,厦门市,25000-30000,,2021-11-05 15:06
高级.net架构师,厦门睿佳贤信息咨询有限公司,厦门市,25000-35000,大专,2021-11-05 15:06
系统架构师,厦门多维树信息科技有限公司,厦门市湖里区,15000-25000,本科,2021-11-05 14:48
架构师(架构师),厦门微亚智能科技有限公司,福建省、厦门市、厦门市湖里区,16000-22000,本科,2021-11-05 14:07
Java架构师,厦门职行力信息科技有限公司,厦门市思明区,15000-30000,大专,2021-11-05 14:03
.net架构师,厦门联拓信息技术有限公司,厦门市湖里区,16000-25000,大专,2021-11-05 13:55
iOS开发工程师/架构师,阳光康健（厦门）科技有限公司,厦门市,10000-20000,本科,2021-11-05 13:21
web前端架构师,厦门艾睿微尔网络科技有限公司,厦门市、厦门市思明区,11000-18000,大专,2021-11-05 11:02
Java架构师,厦门伯智人力资源管理有限公司,厦门市思明区,26000-50000,大专,2021-11-05 10:21
数据架构师/技术经理（001889）,高伟达软件股份有限公司,厦门市,,本科,2021-11-05 09:29
JAVA架构师（001524）,高伟达软件股份有限公司,厦门市,,本科,2021-11-05 09:29
JAVA架构师,高伟达软件股份有限公司,厦门市思明区,,本科,2021-11-05 09:29
系统架构师,厦门市易联众易惠科技有限公司,厦门市,15000-30000,本科,2021-11-05 09:22
资深Java架构师,厦门佰俊人力资源服务有限公司,上海市,30000-40000,,2021-11-05 09:00
项目经理/java架构师,厦门链石网络科技有限公司,厦门市思明区,15000-18000,大专,2021-11-05 09:00
Java架构师,智业软件股份有限公司,厦门市,15000-25000,本科,2021-11-05 08:57
java高级工程师（偏架构师）,幼之幼（厦门）教育科技有限公司,厦门市集美区,15000-20000,本科,2021-11-05 08:54
大数据架构师,厦门威尔信息技术有限公司,厦门市、厦门市思明区、厦门市集美区,,本科,2021-11-05 08:53
高级系统架构师,厦门云赞信息科技有限公司,厦门市思明区,10000-20000,本科,2021-11-05 08:50
数据库架构师,易信（厦门）信用服务技术有限公司,厦门市集美区,25000-40000,本科,2021-11-05 08:33
java项目经理/架构师,北京宇信科技集团股份有限公司,厦门市思明区,15000-20000,本科,2021-11-04 16:17
Java架构师,厦门渊亭信息科技有限公司,厦门市思明区,28000-40000,本科,2021-11-04 13:34
前端架构师,厦门渊亭信息科技有限公司,厦门市,25000-45000,本科,2021-11-04 13:34
系统架构师,奇秦科技（北京）股份有限公司,厦门市集美区,20000-30000,本科,2021-11-04 09:28
前端架构师【紧急】,奇秦科技（北京）股份有限公司,厦门市集美区,15000-25000,本科,2021-11-04 09:28
架构师(架构师),厦门指纹科技有限公司,厦门市思明区,25000-45000,本科,2021-11-03 11:25
高级架构师,厦门志诚精一管理咨询有限责任公司,厦门市、北京市、杭州市,60000-100000,,2021-11-03 08:29
云解决方案架构师,林德（中国）叉车有限公司,厦门市,,本科,2021-11-02 14:33
Java架构师,厦门海菲生物技术股份有限公司,厦门市集美区,20000-30000,,2021-11-02 08:48
资深Java平台架构师,厦门市咕啦电子商务有限责任公司,厦门市思明区,15000-30000,本科,2021-11-01 10:54
产品架构师,厦门市迈丹科技开发有限公司,厦门市,15000-23000,无,2021-11-01 10:35
云计算架构师,厦门汉为软件技术有限公司,厦门市思明区,6000-8000,大专,2021-10-29 09:02
微服务架构师,厦门海晟融创信息技术有限公司,厦门市思明区,12000-20000,大专,2021-10-28 16:59
技术专家/架构师,网宿科技股份有限公司厦门分公司,厦门市集美区,,本科,2021-10-28 10:51
工业软件架构师,厦门牧云数据技术有限公司,厦门市、厦门市集美区,15000-30000,本科,2021-10-27 17:23
系统架构师（泉州）,南威软件集团,泉州市,,本科,2021-10-27 09:37
架构师(架构师),中电金信软件有限公司,厦门市、福州市,15000-22000,本科,2021-10-26 23:37
JAVA架构师,迈岭（厦门）信息科技有限公司,厦门市集美区,,本科,2021-10-26 08:42
Java架构师（锐特）,厦门锐特信息技术有限公司,厦门市集美区,18000-25000,本科,2021-10-25 14:01
大数据顶规架构师（博士）,厦门市美亚柏科信息股份有限公司,北京市、厦门市,20000-40000,博士研究生,2021-10-25 13:19
架构师(架构师),福建活石网络科技有限公司,厦门市、漳州市,15000-20000,本科,2021-10-19 09:50
.net系统架构师,北京朗新天霁软件技术有限公司,厦门市思明区,10000-15000,本科,2021-10-12 09:17
前端（Andriod、ios）架构师,益华（厦门）房地产开发有限公司,厦门市,15000-30000,本科,2021-10-09 16:08
所属厦门海翼工业互联网有限公司架构师,厦门海翼集团有限公司,厦门市思明区,8000-15000,本科,2021-10-09 11:18
