职位名称,公司名称,工作地点,参考月薪,学历,发布时间
iOS软件开发工程师,厦门盈趣科技股份有限公司,厦门市海沧区,7000-13000,本科,2021-11-06 20:23
IOS开发工程师,厦门精芯科技有限公司,厦门市、厦门市湖里区,5000-10000,本科,2021-11-06 15:23
IOS开发工程师,厦门雷迅科微电子股份有限公司,厦门市同安区,8000-15000,大专,2021-11-06 15:23
ios开发工程师,厦门星罗网络科技有限公司,厦门市思明区,10000-15000,本科,2021-11-06 11:48
iOS开发工程师,厦门飓浪信息技术股份有限公司,厦门市,5000-10000,,2021-11-06 11:09
iOS开发工程师,厦门同迈科技有限公司,厦门市思明区,6000-10000,本科,2021-11-05 17:48
iOS开发工程师/架构师,阳光康健（厦门）科技有限公司,厦门市,10000-20000,本科,2021-11-05 13:21
IOS工程师（苹果开发工程师）,厦门易驰软件有限公司,厦门市思明区,8000-15000,大专,2021-11-05 09:52
IOS开发工程师,厦门易驰软件有限公司,厦门市思明区,6000-12000,大专,2021-11-05 09:52
iOS开发工程师,厦门浮点网络科技有限公司,厦门市,10000-15000,,2021-11-05 09:43
高级IOS工程师,厦门市易联众易惠科技有限公司,厦门市思明区,10000-15000,本科,2021-11-05 09:22
iOS开发工程师,厦门安达出行科技有限公司,厦门市思明区,13000-16000,本科,2021-11-05 09:02
中高级IOS工程师,厦门中远方舟网络科技有限公司,厦门市,10000-18000,本科,2021-11-05 09:01
IOS开发工程师,厦门海澳集团有限公司,厦门市海沧区,,本科,2021-11-05 08:48
IOS开发实习生/初级,厦门知市科技有限公司,厦门市集美区、厦门市,3500-7000,,2021-11-04 12:58
IOS开发工程师,厦门知市科技有限公司,厦门市、厦门市集美区,10000-15000,大专,2021-11-04 12:58
ios软件工程师,厦门大洋通信有限公司,福建省、厦门市、厦门市思明区、厦门市湖里区,,本科,2021-11-04 11:47
IOS开发工程师,厦门亚讯光谱网络科技有限公司,厦门市思明区,7000-14000,本科,2021-11-04 10:48
iOS开发工程师,锐仕方达人力资源集团有限公司厦门第二分公司,厦门市,13000-22000,大专,2021-11-04 10:18
ios加速器运营专员,厦门市虫虫网络科技有限公司,厦门市、厦门市思明区,3000-6000,大专,2021-11-03 14:54
IOS组长,厦门傲播网络科技有限公司,厦门市,15000-20000,本科,2021-11-03 13:47
高级ios开发工程师,厦门傲播网络科技有限公司,厦门市思明区,10000-15000,大专,2021-11-03 13:47
ios开发专家,厦门志诚精一管理咨询有限责任公司,厦门市、福州市,25000-50000,,2021-11-03 08:29
Android/iOS客户端开发工程师,厦门景迅网络科技有限公司,厦门市思明区,5000-8000,,2021-11-02 14:33
iOS/安卓混合开发工程师,闲闪（厦门）文化传播有限公司,厦门市思明区,12000-20000,大专,2021-11-02 09:22
IOS开发工程师,福建迅腾电力勘察设计有限公司,厦门市湖里区、漳州市,10000-15000,本科,2021-11-01 16:26
iOS开发工程师,厦门大澳天成网络科技有限公司,厦门市、厦门市思明区,,本科,2021-10-21 14:56
iOS开发助理,厦门市奇获网络科技有限公司,厦门市思明区、厦门市、福建省,6000-8000,大专,2021-10-19 09:07
iOS开发工程师,碧斯诺兰实业发展有限公司,厦门市思明区,9000-18000,本科,2021-10-13 10:58
前端（Andriod、ios）架构师,益华（厦门）房地产开发有限公司,厦门市,15000-30000,本科,2021-10-09 16:08
IOS开发工程师,益华（厦门）房地产开发有限公司,厦门市思明区,11000-22000,本科,2021-10-09 16:08
