职位名称,公司名称,工作地点,参考月薪,学历,发布时间
高级Java工程师（数据方向）,厦门快商通科技股份有限公司,厦门市集美区,,大专,2021-11-07 21:24
高级Java工程师（通讯方向）,厦门快商通科技股份有限公司,厦门市集美区,,,2021-11-07 21:24
中级Java工程师,厦门快商通科技股份有限公司,厦门市集美区,,大专,2021-11-07 21:24
Java程序工程师,厦门铸远集团有限公司,厦门市集美区,6000-12000,大专,2021-11-07 20:50
JAVA 开发工程师,厦门市好景科技有限公司,厦门市集美区,8000-12000,本科,2021-11-07 20:44
Java开发工程师,福建宏泰智能工业互联网有限公司,厦门市思明区,10000-20000,本科,2021-11-07 20:03
JAVA工程师,厦门冠科科技有限公司,厦门市思明区,8000-12000,大专,2021-11-07 17:46
Java中高级开发工程师,福建新时颖电子商务有限公司,厦门市湖里区,10000-15000,本科,2021-11-07 15:39
Java Web端开发人员,厦门优数科技有限公司,厦门市湖里区,5000-6000,本科,2021-11-07 15:25
中级java开发工程师（SSH框架）,厦门金软网络科技有限公司,厦门市,6000-8000(底薪：5000-6000+提成),,2021-11-07 14:40
java工程师,厦门鲲动网络科技有限公司,厦门市思明区,,大专,2021-11-07 14:03
JAVA工程师,厦门嵘拓物联科技有限公司,厦门市,8000-15000,本科,2021-11-07 13:42
JAVA实习生,厦门嵘拓物联科技有限公司,厦门市,2500-5000,本科,2021-11-07 13:42
JAVA开发（实习生）,厦门南讯股份有限公司,厦门市、厦门市思明区,,本科,2021-11-07 11:05
高级JAVA工程师,厦门南讯股份有限公司,厦门市、厦门市思明区,,大专,2021-11-07 11:05
JAVA开发工程师,厦门南讯股份有限公司,厦门市、厦门市思明区,,大专,2021-11-07 11:05
Java开发工程师,硕橙（厦门）科技有限公司,厦门市,10000-15000,本科,2021-11-07 10:45
高级java开发工程师,硕橙（厦门）科技有限公司,福建省、厦门市、厦门市集美区,20000-30000,本科,2021-11-07 10:45
java开发工程师,厦门蓝斯通信股份有限公司,厦门市集美区,10000-15000,本科,2021-11-07 10:41
Java开发工程师,厦门一通灵信息科技有限公司,厦门市,,本科,2021-11-07 08:14
JAVA开发工程师,厦门凯立五金企业有限公司,厦门市海沧区,10000-20000,本科,2021-11-07 02:05
java开发工程师,厦门盛初网络科技有限公司,厦门市集美区,6000-10000,本科,2021-11-06 21:31
高级JAVA工程师,厦门唐普信息技术有限公司,厦门市思明区,15000-20000,硕士研究生,2021-11-06 21:30
高级Java开发工程师,厦门云之巅信息技术有限公司,厦门市湖里区,14000-20000,大专,2021-11-06 21:18
Java开发工程师（外派国企）,厦门云之巅信息技术有限公司,厦门市湖里区,10000-20000,本科,2021-11-06 21:18
中级Java开发工程师,厦门云之巅信息技术有限公司,厦门市湖里区,10000-15000,本科,2021-11-06 21:18
JAVA软件工程师（2022校园招聘）,厦门盈趣科技股份有限公司,厦门市海沧区,,本科,2021-11-06 20:23
Java中高级软件开发工程师,厦门盈趣科技股份有限公司,厦门市海沧区,,本科,2021-11-06 20:23
