职位名称,公司名称,工作地点,参考月薪,学历,发布时间
系统运维部经理,鼎韬（厦门）管理咨询有限公司,泉州市,10000-15000,,2021-11-07 21:43
初级运维（J002954）,深圳市银雁金融服务有限公司厦门分公司,厦门市思明区,5000-6000,本科,2021-11-07 19:41
IT运维,厦门英诺华新材料有限公司,厦门市思明区、厦门市、厦门市湖里区,5000-7000,大专,2021-11-07 17:24
ERP开发运维工程师,厦门千万艺进出口有限公司,厦门市湖里区,8000-15000,大专,2021-11-07 14:41
运维工程师（软件技术支持）,厦门南讯股份有限公司,厦门市、厦门市思明区,,大专,2021-11-07 11:05
运维开发工程师,硕橙（厦门）科技有限公司,厦门市集美区,9000-13000,本科,2021-11-07 10:45
运维工程师,厦门市三安集成电路有限公司,厦门市同安区,6000-12000,本科,2021-11-06 22:26
运维工程师,厦门盛初网络科技有限公司,厦门市集美区,5000-8000,本科,2021-11-06 21:31
运维工程师,厦门云之巅信息技术有限公司,厦门市,10000-15000,,2021-11-06 21:18
信息化专员（办公系统运维）,厦门盈趣科技股份有限公司,厦门市海沧区,,本科,2021-11-06 20:23
OA运维工程师（泉州）,福建火炬电子科技股份有限公司,泉州市,6000-8000,本科,2021-11-06 18:23
SAP生产/物资模块实施/运维工程师（泉州）,福建火炬电子科技股份有限公司,泉州市,4000-8000,本科,2021-11-06 18:23
ERP实施工程师（运维工程师/IT主管）,希擎（厦门）科技股份有限公司,厦门市集美区,10000-15000,大专,2021-11-06 16:13
IT运维工程师（南安）,厦门科牧智能技术有限公司,南安市,8000-12000,大专,2021-11-06 15:14
系统运维师,厦门宝太生物科技股份有限公司,厦门市海沧区,5500-7500,大专,2021-11-06 13:25
OA运维工程师,福建顺磊集团有限公司,厦门市、厦门市集美区,6000-8000,本科,2021-11-06 11:50
运维工程师,北京中盾安邦数据技术有限公司,福建省、泉州市,12000-15000,本科,2021-11-06 09:23
高级运维,厦门美家帮科技股份有限公司,厦门市思明区,15000-25000,,2021-11-06 09:13
软件运维助理,厦门强力巨彩光电科技有限公司,厦门市、厦门市翔安区,5000-7000,大专,2021-11-06 08:58
智能健康APP开发及运维主管,豪美特实业（厦门）有限公司,厦门市,10000-20000,本科,2021-11-06 08:51
