职位名称,公司名称,工作地点,参考月薪,学历,发布时间
产品经理(产品经理),厦门市好景科技有限公司,厦门市集美区,8000-12000,本科,2021-11-07 21:40
产品经理(产品经理),厦门市恒连网络科技有限公司,厦门市思明区,8000-12000,大专,2021-11-07 21:30
资深产品经理,厦门人众软件科技有限公司,厦门市思明区,10000-15000,本科,2021-11-07 20:13
产品经理(产品经理),鼎聚科创（厦门）科技股份有限公司,厦门市,8000-12000,大专,2021-11-07 19:23
网络产品经理,厦门颐澜商贸有限公司,福建省、厦门市,7000-9000(底薪：6000-8000+提成),大专,2021-11-07 08:46
SaaS产品经理,厦门盈趣科技股份有限公司,厦门市海沧区,,本科,2021-11-06 20:23
MES产品经理,厦门盈趣科技股份有限公司,厦门市海沧区,,本科,2021-11-06 20:23
产品经理（软硬件方向）,厦门盈趣科技股份有限公司,厦门市海沧区,,本科,2021-11-06 20:23
软件主管/软件产品经理,厦门领头羊科技有限公司,厦门市、厦门市思明区,8000-15000,本科,2021-11-06 14:50
产品经理(产品经理),赛客（厦门）医疗器械有限公司,厦门市思明区,,本科,2021-11-06 13:50
产品经理(产品经理),厦门导航者软件科技有限公司,厦门市思明区,6000-12000,大专,2021-11-06 11:40
SaaS产品经理,厦门美家帮科技股份有限公司,厦门市思明区,15000-30000,,2021-11-06 09:13
产品经理(产品经理),厦门美家帮科技股份有限公司,福建省、厦门市、厦门市思明区,15000-30000,大专,2021-11-06 09:13
物联网产品经理,西恩威（厦门）金属实业有限公司,厦门市集美区,9000-12000,本科,2021-11-06 09:04
软件产品经理,厦门市四美达科技发展有限公司,厦门市思明区,8000-12000,大专,2021-11-05 18:16
产品经理（IT项目）,特步（中国）有限公司,厦门市、厦门市思明区,8000-10000,本科,2021-11-05 17:27
产品经理(产品经理),福建日品食研生物工程有限公司,厦门市海沧区,8000-12000,大专,2021-11-05 17:21
产品经理(产品经理),厦门大秉科技有限公司,厦门市湖里区,7000-10000,大专,2021-11-05 17:18
电力物联网产品经理,厦门锐谷通信设备有限公司,厦门市、厦门市集美区,5000-8000,本科,2021-11-05 17:08
产品经理（数据中台方向）,厦门用友烟草软件有限责任公司,厦门市思明区,8000-14000,本科,2021-11-05 16:24
产品经理（ERP方向）,厦门用友烟草软件有限责任公司,厦门市思明区,7000-14000,本科,2021-11-05 16:24
产品经理（智能财务方向）,厦门用友烟草软件有限责任公司,厦门市思明区,8000-16000,本科,2021-11-05 16:24
财务产品经理,厦门用友烟草软件有限责任公司,厦门市,10000-18000,本科,2021-11-05 16:24
工业ERP产品经理,厦门用友烟草软件有限责任公司,厦门市、厦门市思明区,10000-18000,本科,2021-11-05 16:24
助理产品经理（测试）,厦门用友烟草软件有限责任公司,厦门市,6000-7000,,2021-11-05 16:24
产品经理(产品经理),厦门市众合百易科技有限公司,福建省、厦门市、厦门市湖里区,8000-10000,本科,2021-11-05 16:05
产品经理（中级）,厦门九桥科技有限公司,福建省、厦门市、厦门市湖里区,8000-15000,大专,2021-11-05 14:51
产品经理(产品经理),厦门美肯科技有限公司,厦门市湖里区,7000-10000,本科,2021-11-05 14:23
产品经理(产品经理),厦门联拓信息技术有限公司,厦门市,,本科,2021-11-05 13:55
产品经理（初级）,厦门联拓信息技术有限公司,厦门市、厦门市湖里区,,本科,2021-11-05 13:55
产品经理（中高级）,厦门联拓信息技术有限公司,厦门市、厦门市湖里区,,本科,2021-11-05 13:55
产品经理(产品经理),团点（厦门）网络科技有限公司,厦门市集美区,10000-20000,无,2021-11-05 13:46
产品经理（项目经理）,瀚德万业（厦门）信息科技有限公司,厦门市思明区,7000-13000,大专,2021-11-05 13:38
产品经理(产品经理),厦门畅博思信息技术有限公司,厦门市湖里区,10000-12000,本科,2021-11-05 13:35
需求分析/产品经理,福建谷玉智能科技有限公司,厦门市、厦门市集美区,9000-18000,本科,2021-11-05 11:35
产品经理(产品经理),厦门万宾科技有限公司,厦门市,8000-16000,本科,2021-11-05 11:29
产品经理(产品经理),厦门凡道科技有限公司,厦门市湖里区,8000-12000,,2021-11-05 11:12
产品经理(产品经理),厦门大道同行科技有限公司,厦门市、厦门市湖里区,7000-12000,本科,2021-11-05 09:55
产品经理(产品经理),厦门易驰软件有限公司,厦门市思明区,8000-16000,大专,2021-11-05 09:52
产品经理(产品经理),麦乐峰（厦门）智能科技有限公司,厦门市思明区,,本科,2021-11-05 09:48
产品经理(产品经理),厦门林越集团有限公司,厦门市,8000-12000,本科,2021-11-05 09:35
产品经理(产品经理),厦门卫星定位应用股份有限公司,厦门市思明区,8000-12000,本科,2021-11-05 09:25
产品经理（To G）,厦门市巨龙信息科技有限公司,厦门市,,本科,2021-11-05 09:23
产品经理(产品经理),厦门市巨龙信息科技有限公司,厦门市,,,2021-11-05 09:23
产品经理(产品经理),厦门市易联众易惠科技有限公司,厦门市思明区,12000-22000,本科,2021-11-05 09:22
产品经理（业务专家）,厦门海迈科技股份有限公司,福建省、厦门市、厦门市思明区,10000-15000,,2021-11-05 09:21
产品经理(产品经理),厦门市盛迅信息技术股份有限公司,厦门市思明区,10000-15000,,2021-11-05 09:21
产品经理(产品经理),厦门浩亿影业集团有限公司,厦门市集美区,10000-15000,本科,2021-11-05 09:16
资深产品经理,厦门畅享信息技术有限公司,厦门市,,本科,2021-11-05 09:04
产品经理(产品经理),厦门畅享信息技术有限公司,厦门市,,本科,2021-11-05 09:04
产品经理（偏技术）,厦门中远方舟网络科技有限公司,厦门市,7000-12000,本科,2021-11-05 09:01
产品经理(产品经理),厦门中远方舟网络科技有限公司,厦门市,9000-13000,本科,2021-11-05 09:01
产品经理助理,厦门中远方舟网络科技有限公司,厦门市,4000-6000,本科,2021-11-05 09:01
产品经理(产品经理),厦门熙重电子科技有限公司,厦门市,8000-15000,大专,2021-11-05 08:54
产品经理(产品经理),厦门威尔信息技术有限公司,厦门市、厦门市思明区、厦门市集美区,12000-20000,本科,2021-11-05 08:53
产品经理(产品经理),厦门快普信息技术有限公司,厦门市思明区,10000-18000,大专,2021-11-05 08:49
SaaS产品经理,厦门攸信信息技术有限公司,厦门市海沧区,,本科,2021-11-05 08:42
软件产品经理,厦门攸信信息技术有限公司,厦门市海沧区,,本科,2021-11-05 08:42
产品经理(产品经理),厦门航天信息有限公司,厦门市集美区、厦门市思明区,,大专,2021-11-05 08:35
产品经理/产品专员,福建易联众医卫信息技术有限公司,厦门市思明区,6000-12000,大专,2021-11-04 17:28
网贷产品经理,北京宇信科技集团股份有限公司,厦门市集美区,12000-20000,本科,2021-11-04 16:17
产品经理(产品经理),厦门民航凯亚有限公司,厦门市思明区,5000-7000,本科,2021-11-04 14:31
产品经理（政企行业中心）,厦门渊亭信息科技有限公司,厦门市思明区,13000-23000,本科,2021-11-04 13:34
产品经理（工业互联网）,厦门渊亭信息科技有限公司,厦门市思明区,12000-18000,本科,2021-11-04 13:34
系统产品经理,后古文化科技有限公司,厦门市思明区,6000-10000,,2021-11-04 10:27
产品经理【供应链方向】,奇秦科技（北京）股份有限公司,厦门市集美区,20000-35000,本科,2021-11-04 09:28
产品经理(产品经理),厦门掘金信息科技有限公司,厦门市湖里区,8000-12000,大专,2021-11-04 09:26
产品经理(产品经理),厦门亿学软件有限公司,厦门市集美区、厦门市,10000-15000,本科,2021-11-04 09:19
产品经理(产品经理),厦门微汇管车信息科技有限公司,福建省、厦门市、厦门市思明区,10000-15000,本科,2021-11-03 17:38
电竞产品经理,厦门傲播网络科技有限公司,厦门市思明区,10000-15000,大专,2021-11-03 13:47
