职位名称,公司名称,工作地点,参考月薪,学历,发布时间
软件实施项目经理,厦门金软网络科技有限公司,厦门市,8000-10000(底薪：6000-8000+提成),,2021-11-07 14:40
系统集成项目经理,上海宝信软件股份有限公司厦门分公司,厦门市,8000-10000,大专,2021-11-07 12:46
信息项目经理,金牌厨柜家居科技股份有限公司,厦门市,7000-12000,本科,2021-11-07 09:35
资深/高级软件项目经理（MES实施方向）,厦门盈趣科技股份有限公司,厦门市海沧区,,大专,2021-11-06 20:23
软件项目经理（AEES实施方向）,厦门盈趣科技股份有限公司,厦门市海沧区,,本科,2021-11-06 20:23
软件项目经理（MES实施方向）,厦门盈趣科技股份有限公司,厦门市海沧区,,大专,2021-11-06 20:23
BIM项目经理,厦门中诺一达机电有限公司,厦门市海沧区,15000-20000,大专,2021-11-06 18:26
渠道项目经理,厦门导航者软件科技有限公司,厦门市思明区,6000-12000,大专,2021-11-06 11:40
项目经理/销售经理（轨道交通方向）,厦门物之联智能科技有限公司,厦门市、厦门市集美区,,本科,2021-11-05 18:00
高级项目经理,厦门物之联智能科技有限公司,厦门市集美区、厦门市,,本科,2021-11-05 18:00
智能化项目经理,先拓科技（福建）有限公司,厦门市,8000-15000,,2021-11-05 17:20
ETL项目经理,京北方信息技术股份有限公司厦门分公司,厦门市思明区,15000-24000,本科,2021-11-05 17:17
项目经理（研发）,京北方信息技术股份有限公司厦门分公司,厦门市思明区,15000-20000,本科,2021-11-05 17:17
JAVA项目经理,厦门全向物联网科技有限公司,厦门市,10000-15000,本科,2021-11-05 17:17
区域项目经理,厦门用友烟草软件有限责任公司,成都市、北京市、贵阳市、昆明市、杭州市、长沙市、南宁市,16000-25000,本科,2021-11-05 16:24
项目经理(项目经理),厦门启鸿博科技有限公司,厦门市、湖北省、湖南省,20000-28000(底薪：12000-20000+提成),大专,2021-11-05 16:04
项目经理(项目经理),厦门正航软件科技有限公司,厦门市,10000-20000,大专,2021-11-05 15:57
项目经理（福州）,福建拓尔通软件有限公司,福州市,10000-15000,本科,2021-11-05 15:53
软件项目经理,福建拓尔通软件有限公司,厦门市,10000-20000,本科,2021-11-05 15:53
项目经理(项目经理),上海泛微网络科技股份有限公司,厦门市,5000-10000(底薪：4000-8000+提成),大专,2021-11-05 15:52
项目经理(项目经理),厦门信通慧安科技有限公司,厦门市集美区、厦门市、福建省,,大专,2021-11-05 15:44
项目经理(项目经理),福建新时颖电子商务有限公司,厦门市,,,2021-11-05 15:34
ERP实施项目经理,厦门同荣科技有限公司,厦门市,,大专,2021-11-05 15:23
项目经理(项目经理),厦门同步天成软件股份有限公司,福建省、厦门市、厦门市思明区,8000-13000,大专,2021-11-05 15:05
PLM项目经理,奇正科技（厦门）股份有限公司,福建省、厦门市、厦门市湖里区,6000-8000(底薪：5500-6000+提成),本科,2021-11-05 14:51
项目经理(项目经理),厦门市舒特科技有限公司,厦门市湖里区,13000-20000(底薪：8000-12000+提成),大专,2021-11-05 14:44
软件开发项目经理,厦门金名节能科技有限公司,厦门市,15000-20000,本科,2021-11-05 14:12
实施项目经理,厦门联拓信息技术有限公司,厦门市,,本科,2021-11-05 13:55
BI项目经理（帆软方向）,厦门龙人亦进信息科技有限公司,厦门市,10000-15000,本科,2021-11-05 13:51
Net项目经理,厦门龙人亦进信息科技有限公司,厦门市集美区,10000-15000,,2021-11-05 13:50
