职位名称,公司名称,工作地点,参考月薪,学历,发布时间
Python开发工程师,万续通（厦门）贸易有限公司,厦门市湖里区,11000-18000,大专,2021-11-07 22:10
Python开发工程师,立壹（厦门）电子商务有限责任公司,厦门市湖里区,11000-18000,大专,2021-11-07 20:10
Python开发工程师,福建宏泰智能工业互联网有限公司,厦门市思明区,10000-20000,本科,2021-11-07 20:03
Python开发工程师,巨汇（厦门）科技有限公司,厦门市湖里区,11000-18000,大专,2021-11-07 18:03
PYTHON爬虫数据分析师,同溢堂药业有限公司,漳州市,10000-15000,,2021-11-07 09:46
python工程师,厦门美怡莱网络科技有限公司,厦门市思明区,6000-12000,大专,2021-11-06 17:08
Python工程师,睿视智觉（厦门）科技有限公司,厦门市,,本科,2021-11-05 17:15
python工程师,厦门简创网络科技有限公司,厦门市思明区,8000-15000,,2021-11-05 17:06
python开发工程师,厦门睿佳贤信息咨询有限公司,厦门市思明区,10000-15000,本科,2021-11-05 15:06
Python开发工程师,中闽汇金（厦门）资产管理有限公司,厦门市湖里区,15000-22000,本科,2021-11-05 09:15
Python开发工程师（急招）,福建恒天晨光节能服务有限公司,福建省、厦门市、厦门市思明区,7000-12000,大专,2021-11-05 08:41
高级Java/Python研发工程师,科技谷（厦门）信息技术有限公司,厦门市、北京市、上海市,16000-25000,本科,2021-11-04 14:24
高级Python工程师,厦门渊亭信息科技有限公司,厦门市思明区,15000-30000,本科,2021-11-04 13:34
Python工程师/大数据开发工程师,厦门热工环保系统工程有限公司,厦门市湖里区,10000-20000,本科,2021-11-03 21:30
Python全栈工程师,中科（厦门）数据智能研究院,厦门市集美区,9000-15000,本科,2021-11-03 09:07
Python 开发工程师（中高级）,中科（厦门）数据智能研究院,厦门市集美区,10000-15000,本科,2021-11-03 09:07
Python后端开发实习生,福建自贸试验区厦门片区Manteia数据科技有限公司,厦门市思明区,3000-3000,本科,2021-10-29 17:34
python开发工程师,福建自贸试验区厦门片区Manteia数据科技有限公司,厦门市、福建省、厦门市思明区,,本科,2021-10-29 17:34
初级Python工程师,成都天用唯勤科技股份有限公司,厦门市,4500-7000,大专,2021-10-29 09:13
python实习生,睿云联（厦门）网络通讯技术有限公司,厦门市思明区,,本科,2021-10-27 14:03
Python开发,中软国际科技服务有限公司,厦门市思明区,12000-20000,大专,2021-10-26 15:35
图像算法研发工程师（Python）,奥谱天成（厦门）光电有限公司,厦门市集美区,10000-20000,本科,2021-10-19 23:08
python开发,厦门摩尔脉能科技有限公司,厦门市思明区,10000-18000,本科,2021-10-19 10:12
