职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
系统开发与项目管理岗(J20184),北京-朝阳区,急聘,面议,---5-10年--本科及以上-,招商局集团财务有限公司,-银行-1-49人-,吕女士
高级Java开发（工程效能）,北京,急聘,30-50k-14薪,---5-10年--统招本科-,小米,-互联网/电商-港股上市-10000人以上-,刘女士
WEB后端开发工程师,北京,急聘,18-23k-14薪,---3-5年--统招本科-,大唐奇安网络科技有限公司,-网络安全-50-99人-,谭女士
软件高级工程师,北京-大兴区,,15-18k,---5-10年--本科及以上-,中恒国际租赁有限公司,-基金/证券/投资-100-499人-,马女士
Java开发工程师,北京,,10-20k,---经验不限--大专及以上-,领雁科技,-计算机软件-500-999人-,贾女士
java开发,北京,,10-25k,---3-5年--统招本科-,开联信息技术有限公司,-计算机软件-50-99人-,陈女士
后台研发工程师,北京,,30-60k-16薪,---3-5年--本科及以上-,美团,-互联网/电商-港股上市-10000人以上-,陈女士
中级java工程师,北京-昌平区,,18-35k,---3-5年--统招本科-,某国有控股上市汽车有限公司,-汽车/摩托车-已上市-10000人以上-,武先生
java,北京,,20-30k,---5-10年--学历不限-,SHPHKJFZ股份有限公司,-计算机软件-已上市-100-499人-,李女士
高级java开发工程师,北京-大兴区,,25-40k-13薪,---5-10年--统招本科-,国内大型医药公司,-电子商务-融资未公开-10000人以上-,王女士
资深java开发工程师,北京-大兴区,,30-40k,---5-10年--大专及以上-,某大型集团公司,-医疗信息化-融资未公开-10000人以上-,卢先生
后端开发工程师（java/python）,北京-西城区,,25-35k,---经验不限--本科及以上-,某通信集团研究院,-互联网/电商-1000-2000人-,唐先生
java,北京-朝阳区,,11-17k,---3-5年--大专及以上-,法本信息,-IT服务-已上市-10000人以上-,黄女士
 Senior Software Engineer (Java),北京-东城区,,面议,---3-5年--学历不限-,亿磐系统（深圳）有限公司,-计算机软件-已上市-10000人以上-,李女士
java后台开发工程师,北京-朝阳区,,10-15k,---1-3年--大专及以上-,北京美中宜和妇儿医院有限公司,-医疗/保健/美容-1000-2000人-,杨女士
高级java(J10735),北京-朝阳区,,25-40k-16薪,---3-5年--统招本科-,好大夫在线,-O2O服务-500-999人-,张女士
初级JAVA 工程师,北京-海淀区,,10-20k-14薪,---一年以下--本科及以上-,艾迪泰科科技(北京)有限公司,-制药/生物工程-融资未公开-50-99人-,赵女士
高级JAVA 工程师,北京-海淀区,,30-40k-14薪,---5-10年--本科及以上-,艾迪泰科科技(北京)有限公司,-制药/生物工程-融资未公开-50-99人-,赵女士
java开发工程师,北京-海淀区,,15-30k,---3-5年--本科及以上-,大为计算机软件开发有限公司,-IT服务-100-499人-,周女士
中级java工程师,北京-海淀区,,20-30k-14薪,---1-3年--本科及以上-,艾迪泰科科技(北京)有限公司,-制药/生物工程-融资未公开-50-99人-,赵女士
中级java开发工程师,北京,,18-23k,---3-5年--统招本科-,亮亮视野,-AI行业应用-C轮-100-499人-,崔先生
Java总监-阿拉丁科技,北京-朝阳区,,40-50k-13薪,---5-10年--统招本科-,阿拉丁控股集团,-基金/证券/投资-100-499人-,徐女士
java开发工程师(J10735),北京-朝阳区,,25-40k,---3-5年--统招本科-,好大夫在线,-O2O服务-500-999人-,张女士
Java工程师,北京-朝阳区,,8-20k-14薪,---1-3年--统招本科-,医药魔方,-制药/生物工程-B轮-50-99人-,张女士
高级Java开发工程师,北京-朝阳区,,18-30k,---5-10年--统招本科-,北京特微智能科技有限公司,-互联网/电商-100-499人-,于女士
java工程师,北京,,15-25k,---3-5年--统招本科-,互联网在线教育公司,-电子商务-100-499人-,刘女士
java开发工程师,北京,,15-30k,---1-3年--学历不限-,如云,-建筑-50-99人-,孙先生
车联网、座舱等平台JAVA工程师,北京-海淀区,,18-35k-15薪,---5-10年--学历不限-,世界百强车企,-汽车/摩托车-5000-10000人-,赵女士
