职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
金融科技部-后端开发岗,上海-黄浦区,急聘,面议,3-5年统招本科,海通恒信,|基金/证券/投资|已上市|1000-2000人|,王女士
java中级开发工程师-外派,上海,急聘,12-16k·13薪,3-5年统招本科,上海砾阳软件有限公司,|计算机软件|100-499人|,张女士
java工程师,上海-浦东新区,急聘,15-25k,3-5年本科及以上,上海合乐医疗科技有限公司,|医疗器械|50-99人|,周女士
Python后端工程师,上海-长宁区,,10-15k,1-3年大专及以上,上海宾孚数字科技集团有限公司,|专业服务|50-99人|,谢女士
大数据平台高级研发工程师（增强分析方向）,上海,,20-40k·15薪,5-10年本科及以上,Kyligence,|计算机软件|D轮|100-499人|,马女士
数据分析开发工程师,上海-浦东新区,,15-30k,3-5年本科及以上,通联金服,|计算机软件|100-499人|,蒋女士
java高级工程师,上海,,20-25k,3-5年大专及以上,上海纽顿医疗美容门诊部有限公司,|医疗/保健/美容|100-499人|,潘先生
Java500强集团总部JAVA开发工程师,上海,,20-40k·16薪,1-3年本科及以上,全国知名连锁猎头公司,|中介服务|500-999人|,孙先生
Java专家/leader,上海-浦东新区,,35-55k·16薪,5-10年学历不限,知名互联网公司,|互联网/电商|D轮及以上|1000-2000人|,葛先生
高级java开发工程师,上海,,35-55k·18薪,3-5年学历不限,某知名潮牌电商大厂,|互联网/电商|A轮|2000-5000人|,马先生
Java技术专家(商品),上海,,40-50k·16薪,5-10年统招本科,某互联网公司,|互联网/电商|500-999人|,王先生
Java技术专家(交易平台),上海,,30-50k·16薪,5-10年统招本科,某互联网公司,|互联网/电商|500-999人|,王先生
Java资深开发工程师/技术专家(商品),上海,,35-50k·16薪,3-5年统招本科,某互联网公司,|互联网/电商|500-999人|,王先生
后端java工程师,上海,,13-26k,3-5年本科及以上,伊纳思,|快消品|100-499人|,冯女士
java高级工程师,上海,,20-30k·17薪,1-3年统招本科,Onchain,|互联网金融|A轮|50-99人|,杨女士
java,上海-长宁区,,15-25k,3-5年统招本科,国内知名互联网公司,|广告营销|融资未公开|100-499人|,刘女士
