职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
WEB后端开发工程师,北京,急聘,18-23k·14薪,3-5年统招本科,大唐奇安网络科技有限公司,|网络安全|50-99人|,谭女士
系统开发工程师,北京-海淀区,急聘,20-30k·14薪,3-5年大专及以上,北京容百投资控股有限公司,|原材料加工|已上市|500-999人|,倪女士
Java开发工程师,北京,急聘,10-20k,经验不限大专及以上,领雁科技,|计算机软件|500-999人|,贾女士
高级java开发工程师,北京-朝阳区,,20-30k,5-10年本科及以上,凯泰铭科技(北京)有限公司,|互联网/电商|B轮|100-499人|,李女士
java工程师,北京-朝阳区,,15-25k,3-5年大专及以上,万联易达,|互联网/电商|100-499人|,冯先生
java中高级开发工程师,北京-石景山区,,20-30k,3-5年本科及以上,领雁科技,|计算机软件|500-999人|,陈女士
全栈开发工程师,北京,,30-50k,5-10年本科及以上,西云数据,|IT服务|100-499人|,HR
高级java开发工程师,北京-顺义区,,40-60k·16薪,5-10年统招本科,某大型计算机软件公司,|自动驾驶|A轮|100-499人|,邓女士
阿里云-融媒体发展事业部-高级Java开发工程师,北京-朝阳区,,30-60k·14薪,3-5年统招本科,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,HR
java,北京,,13-26k,经验不限学历不限,软通动力,|开发者服务|融资未公开|10000人以上|,安女士
技术总经理（Java方向）,北京-海淀区,,20-40k,10年以上统招本科,海泰方圆,|计算机软件|天使轮|100-499人|,徐先生
java,北京,,20-40k·14薪,5-10年统招本科,中国外运,|交通/物流/运输|已上市|10000人以上|,赵女士
中级java工程师,北京-昌平区,,18-35k,3-5年统招本科,某国有控股上市汽车有限公司,|汽车/摩托车|已上市|10000人以上|,武先生
java,北京,,20-30k,5-10年学历不限,SHPHKJFZ股份有限公司,|计算机软件|已上市|100-499人|,李女士
高级java工程师/技术专家,北京,,30-60k·16薪,3-5年统招本科,某一线互联网企业（BAT),|互联网/电商|5000-10000人|,汤女士
高级java开发工程师,北京-大兴区,,25-40k·13薪,5-10年统招本科,国内大型医药公司,|电子商务|融资未公开|10000人以上|,王女士
后端开发工程师（java/python）,北京-西城区,,25-35k,经验不限本科及以上,某通信集团研究院,|互联网/电商|1000-2000人|,唐先生
java架构师/技术经理,北京,,80-110k,经验不限统招本科,世界500强企业,|互联网/电商|10000人以上|,李先生
Java专家,北京,,40-70k·14薪,5-10年学历不限,成都云瑞汇晨科技有限公司,|互联网/电商|100-499人|,程先生
Java,北京-昌平区,,14-25k,3-5年统招本科,联众芯云,|电子/芯片/半导体|100-499人|,谢女士
 Senior Software Engineer (Java),北京-东城区,,面议,3-5年学历不限,亿磐系统（深圳）有限公司,|计算机软件|已上市|10000人以上|,李女士
java后台开发工程师,北京-朝阳区,,10-15k,1-3年大专及以上,北京美中宜和妇儿医院有限公司,|医疗/保健/美容|1000-2000人|,杨女士
高级java开发工程师,北京,,15-25k,3-5年统招本科,景昉云,|计算机软件|B轮|500-999人|,余女士
Java总监-阿拉丁科技,北京-朝阳区,,40-50k·13薪,5-10年统招本科,阿拉丁控股集团,|基金/证券/投资|100-499人|,徐女士
JavaDeveloper,北京-海淀区,,20-30k·13薪,5-10年统招本科,西信信息,|IT服务|新三板上市|100-499人|,王女士
java工程师,北京-丰台区,,18-30k·13薪,3-5年本科及以上,北京兰格电子商务有限公司,|互联网/电商|B轮|100-499人|,王女士
java开发工程师,北京,,10-15k,1-3年本科及以上,微岩医学科技(北京)有限公司,|医疗服务|A轮|100-499人|,彭先生
Java工程师,北京-朝阳区,,8-20k·14薪,1-3年统招本科,医药魔方,|制药/生物工程|B轮|50-99人|,张女士
高级Java研发工程师,北京,,15-25k,5-10年本科及以上,北京利和,|制药/生物工程|500-999人|,王女士
高级Java开发工程师/专家,北京-朝阳区,,45-75k·15薪,5-10年硕士及以上,国内知名数字地图导航供应商,|互联网/电商|融资未公开|2000-5000人|,严女士
高级java工程师(房产金融),北京-朝阳区,,35-45k·16薪,3-5年统招本科,五八同城信息技术有限公司,|互联网+|已上市|2000-5000人|,王先生
高级JAVA研发工程师,北京,,20-40k,3-5年统招本科,某知名互联网公司,|企业服务软件|1000-2000人|,杨女士
资深Java,北京,,40-60k·18薪,5-10年统招本科,某独角兽型国内个人医疗资金提供商,|互联网/电商|B轮|100-499人|,薛女士
java,北京,,15-30k·13薪,经验不限大专及以上,XL,|计算机软件|2000-5000人|,于女士
JAVA工程师/数据仓库专家/前端工程师,北京,,30-50k·15薪,5-10年统招本科,XX技术有限公司,|计算机软件|已上市|500-999人|,杨先生
高级/资深java开发工程师,北京-朝阳区,,25-50k·14薪,5-10年统招本科,科锐数字科技,|计算机软件|已上市|2000-5000人|,仲女士
