职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
Java开发/前端开发/软件测试,南京-秦淮区,急聘,8-12k,一年以下本科及以上,联蔚数科,|云服务|500-999人|,黄女士
java高级工程师,南京-江宁区,急聘,18-24k,3-5年本科及以上,南京亘达云信息科技有限公司,|计算机软件|1-49人|,张女士
WEB应用系统软件开发工程师,南京-江宁区,急聘,15-25k·14薪,3-5年硕士及以上,四方北京,|沪深A股上市|2000-5000人|,马先生
Java开发工程师,南京,,13-20k·21薪,3-5年统招本科,某现代化农业公司,|农业|融资未公开|10000人以上|,牛先生
java开发工程师,南京-雨花台区,,20-40k·14薪,3-5年本科及以上,用友网络科技股份有限公司,|计算机软件|已上市|10000人以上|,李女士
java,南京-雨花台区,,18-25k,3-5年大专及以上,软通动力分支机构,|互联网/电商|10000人以上|,张女士
资深Java软件工程师(TJ0013),南京-建邺区,,15-20k,5-10年统招本科,万得,|互联网/电商|其他|2000-5000人|,姚女士
高级Java开发工程师,南京-雨花台区,,13-20k,3-5年本科及以上,擎盾数据,|计算机软件|C轮|500-999人|,张先生
java高级开发工程师,南京,,20-28k,3-5年学历不限,某知名互联网公司,|互联网/电商|其他|1000-2000人|,刘女士
中级java开发工程师,南京-浦口区,,8-12k,3-5年本科及以上,金天管理,|快消品|100-499人|,王女士
java高级开发工程师,南京-浦口区,,13-18k,3-5年本科及以上,金天管理,|快消品|100-499人|,王女士
java研发工程师,南京-建邺区,,13-20k·14薪,3-5年本科及以上,《培训》杂志,|垂直媒体|融资未公开|100-499人|,刘女士
Java后端开发工程师,南京,,12-20k,3-5年统招本科,中科三清科技有限公司,|计算机软件|其他|100-499人|,陈女士
java全栈开发,南京-雨花台区,,15-25k,5-10年本科及以上,旗天科技集团股份有限公司,|互联网金融|创业板上市|500-999人|,胡女士
java工程师,南京-雨花台区,,10-20k,3-5年本科及以上,旗天科技集团股份有限公司,|互联网金融|创业板上市|500-999人|,胡女士
高级java开发工程师,南京-雨花台区,,面议,3-5年统招本科,满帮集团,|互联网/电商|5000-10000人|,吴先生
高级java开发工程师,南京-江宁区,,18-25k·15薪,3-5年本科及以上,天与养老,|互联网+|A轮|100-499人|,郭女士
Java研发工程师（南京）,南京-建邺区,,7-14k·13薪,3-5年大专及以上,东信北邮,|通信业|1000-2000人|,苏女士
java开发工程师,南京-雨花台区,,10-20k·13薪,3-5年统招本科,亚信科技,|通信业|10000人以上|,张女士
java开发工程师,南京,,12-18k·14薪,5-10年统招本科,联通智网科技有限公司,|互联网/电商|100-499人|,王女士
高级java项目经理,南京,,18-30k,5-10年统招本科,托付保(南京)电力技术有限公司,|能源/水利|50-99人|,王先生
JAVA开发工程师,南京-雨花台区,,10-20k,3-5年本科及以上,泰通科技,|通信业|新三板上市|100-499人|,袁女士
Java开发工程师,南京-江宁区,,6-11k,1-3年本科及以上,广东德生科技股份有限公司,|互联网/电商|中小板上市|1000-2000人|,HR
高级Java开发工程师,南京,,18-25k·15薪,5-10年本科及以上,天与养老,|互联网+|A轮|100-499人|,郭女士
java高级开发工程师,南京-江宁区,,15-20k,5-10年本科及以上,天与养老,|互联网+|A轮|100-499人|,郭女士
java高级工程师,南京-江宁区,,18-20k,3-5年统招本科,天与养老,|互联网+|A轮|100-499人|,郭女士
Java开发工程师（自研平台）,南京-雨花台区,,18-35k·14薪,5-10年本科及以上,北京中软国际信息技术有限公司,|互联网/电商|10000人以上|,薛女士
Java开发工程师（南京）,南京-秦淮区,,6-11k,3-5年本科及以上,网新恩普,|计算机软件|已上市|1000-2000人|,洪女士
高级Java工程师(大数据，数据挖掘)(TJ0010),南京-建邺区,,17-25k,5-10年统招本科,万得,|互联网/电商|其他|2000-5000人|,姚女士
Java软件工程师(后台)(TJ0012),南京-建邺区,,15-20k,5-10年统招本科,万得,|互联网/电商|其他|2000-5000人|,姚女士
java软件工程师,南京,,13-16k·15薪,3-5年本科及以上,Rho,|IT服务|1000-2000人|,李先生
 238844 JAVA高级开发工程师,南京-建邺区,,25-40k·24薪,5-10年学历不限,南京top证券公司,|互联网/电商|已上市|5000-10000人|,董女士
java工程师,南京,,15-26k·16薪,3-5年统招本科,某知名区块链公司,|互联网/电商|50-99人|,赵女士
JAVA高级开发工程师(南京、上海、深圳、北京),南京,,30-50k·22薪,1-3年统招本科,排名前十券商,|基金/证券/投资|已上市|5000-10000人|,吕女士
JAVA开发工程师（研发） #236115,南京-雨花台区,,20-40k·18薪,3-5年本科及以上,国内知名终端公司,|计算机软件|天使轮|10000人以上|,李女士
Java 后端开发,南京-玄武区,,12-20k·13薪,1-3年本科及以上,深圳卖教售网络科技有限公司,|互联网/电商|融资未公开|50-99人|,丘女士
JAVA工程师,南京,,15-20k·14薪,1-3年本科及以上,江西知遇人才服务有限公司,,韩女士
java开发,南京-雨花台区,,9-14k·13薪,3-5年大专及以上,南京上古网络科技有限公司,|企业服务软件|融资未公开|100-499人|,石女士
Java开发实习生,南京-建邺区,,3-4k,经验不限大专及以上,南京群顶,|计算机软件|100-499人|,倪女士
java中级工程师,南京-江宁区,,8-14k·13薪,3-5年本科及以上,南京讯思雅信息科技有限公司,|计算机软件|,孟女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java开发工程师（自研双休）,南京-雨花台区,,10-18k,3-5年本科及以上,深圳市四格互联信息技术有限公司,|计算机软件|C轮|100-499人|,王先生
JAVA开发工程师,南京,,12-20k,3-5年本科及以上,雨润集团,|房地产/建筑|10000人以上|,徐先生
对日JAVA软件开发(中高级SE),南京,,13-20k,5-10年大专及以上,辛巴达软件,|计算机软件|100-499人|,赵先生
对日JAVA软件开发(初中级),南京,,6-13k·13薪,1-3年大专及以上,辛巴达软件,|计算机软件|100-499人|,赵先生
java开发工程师,南京-雨花台区,,15-30k·14薪,3-5年统招本科,中兴通讯股份有限公司-系统产品,|通信业|,姚女士
对日JAVA软件开发(中高级SE),南京,,13-20k·13薪,3-5年大专及以上,上海达巴辛,|计算机软件|100-499人|,赵先生
对日JAVA软件开发(初中级),南京,,6-13k·13薪,1-3年大专及以上,上海达巴辛,|计算机软件|100-499人|,赵先生
对日JAVA软件开发(初中级),南京,,6-13k·13薪,1-3年大专及以上,求贤宝,|IT服务|100-499人|,黄女士
对日JAVA软件开发(中高级SE),南京,,13-20k·13薪,3-5年大专及以上,求贤宝,|IT服务|100-499人|,黄女士
对日初级JAVA开发(PG)  南京,南京-建邺区,,6-11k·13薪,1-3年学历不限,求贤宝,|IT服务|100-499人|,黄女士
对日中高级JAVA开发(SE) 南京,南京-建邺区,,12-18k·13薪,3-5年大专及以上,求贤宝,|IT服务|100-499人|,黄女士
高级Java开发工程师（电商）,南京-雨花台区,,面议,3-5年统招本科,明略科技集团,|互联网/电商|D轮|2000-5000人|,陈先生
java开发工程师,南京-雨花台区,,12-25k·13薪,3-5年统招本科,北京华捷艾米科技有限公司,|人工智能|C轮|500-999人|,年先生
Java开发工程师1,南京,,15-28k,3-5年统招本科,软通动力技术服务,|互联网/电商|10000人以上|,刘先生
资深java架构师,南京-雨花台区,,22-30k,5-10年统招本科,开鑫科技有限公司,|基金/证券/投资|100-499人|,曹女士
JAVA Dev（JAVA开发）,南京-雨花台区,,15-25k·13薪,3-5年本科及以上,宝马诚迈信息技术有限公司,|计算机软件|100-499人|,阎女士
java开发,南京-雨花台区,,12-18k,3-5年本科及以上,富仁集团,|机械/机电/重工|2000-5000人|,严女士
Java & Web 高级软件开发工程师,南京-雨花台区,,11-20k,1-3年统招本科,中兴高达,|通信业|500-999人|,许女士
高级java开发工程师,南京,,9-15k·14薪,3-5年统招本科,中科云尚(南京)智能技术有限公司,|AI行业应用|100-499人|,李女士
java开发工程师,南京-雨花台区,,10-15k,经验不限本科及以上,中科院沈苏公司,|计算机软件|B轮|100-499人|,陈女士
java开发工程师,南京-浦口区,,8-15k,3-5年本科及以上,帛丝云商,|IT服务|融资未公开|100-499人|,贾女士
高级java工程师,南京-雨花台区,,20-35k·14薪,5-10年大专及以上,千米网,|互联网/电商|B轮|500-999人|,陈女士
java架构师,南京-江宁区,,30-45k,5-10年统招本科,Michael Page,|人力资源|5000-10000人|,林先生
资深java架构师,南京-江宁区,,30-45k,5-10年本科及以上,Michael Page,|人力资源|5000-10000人|,江女士
java工程师,南京,,面议,1-3年本科及以上,南京轩恩软件开发有限公司,|计算机软件|融资未公开|50-99人|,叶先生
中级JAVA软件工程师,南京,,面议,3-5年统招本科,南京轩恩软件开发有限公司,|计算机软件|融资未公开|50-99人|,叶先生
【中电望辰】JAVA开发工程师,南京-秦淮区,,10-15k,5-10年本科及以上,中电工业互联网有限公司,|互联网/电商|100-499人|,肖女士
java工程师,南京-江宁区,,10-16k·13薪,3-5年统招本科,天与养老,|互联网+|A轮|100-499人|,郭女士
Java开发工程师（网新博创）,南京-玄武区,,8-13k,3-5年本科及以上,网新恩普,|计算机软件|已上市|1000-2000人|,洪女士
Java中级开发工程师,南京,,10-15k,经验不限本科及以上,多伦科技,|IT服务|沪深A股上市|1000-2000人|,丁女士
JAVA开发工程师-南京,南京,,7-15k·14薪,1-3年本科及以上,福富软件公司,|计算机软件|2000-5000人|,洪女士
java技术专家-南京,南京-建邺区,,35-55k·15薪,5-10年统招本科,某大型互联网公司,|互联网/电商|A轮|500-999人|,李先生
Java工程师,南京-建邺区,,16-24k·13薪,3-5年统招本科,某公司,|计算机软件|融资未公开|2000-5000人|,陶女士
资深java开发工程师,南京-建邺区,,18-28k·13薪,5-10年统招本科,某知名公司,|互联网/电商|5000-10000人|,李先生
java开发工程师,南京-建邺区,,20-35k·19薪,5-10年统招本科,某知名上市互联网金融公司,|互联网金融|已上市|2000-5000人|,蔡女士
java,南京,,18-35k·14薪,经验不限统招本科,南京某互联网公司,|互联网/电商|B轮|100-499人|,王先生
java工程师,南京,,15-20k,1-3年统招本科,某知名互联网公司,|互联网/电商|其他|1000-2000人|,刘女士
java高级工程师,南京,,15-25k,5-10年统招本科,某知名通信公司,|通信设备|10000人以上|,居女士
java研发工程师,南京-秦淮区,,17-30k·14薪,3-5年统招本科,Yum,|餐饮品牌|已上市|10000人以上|,蔡女士
java技术专家,南京,,25-40k·13薪,5-10年本科及以上,某跨境电商互联网公司,|电子商务|D轮及以上|10000人以上|,李先生
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
234362 Java 架构师,南京-建邺区,,30-40k·16薪,5-10年统招本科,杭州知名互联网公司,|电子商务|其他|500-999人|,董女士
java开发工程师,南京-雨花台区,,20-40k·14薪,3-5年本科及以上,知名互联网公司,|互联网/电商|融资未公开|10000人以上|,邓女士
资深Java工程师（订单）,南京-雨花台区,,20-35k,5-10年本科及以上,SHEIN,|电子商务|10000人以上|,杨女士
java高级软件工程师,南京-雨花台区,,15-20k·13薪,5-10年统招本科,亚信科技,|通信业|10000人以上|,黄先生
Java中级开发工程师,南京-六合区,,13-18k,1-3年本科及以上,南京康龙威科技实业有限公司,|医疗器械|50-99人|,杨女士
高级Java开发工程师NJ (MJ000057),南京-建邺区,,15-30k·14薪,5-10年本科及以上,通联数据,|计算机软件|其他|100-499人|,周先生
Java开发高级工程师,南京-雨花台区,,15-30k,5-10年本科及以上,中铱数字科技有限公司,|计算机软件|1-49人|,吴女士
java开发工程师,南京-鼓楼区,,8-10k,3-5年本科及以上,中数通信息,|通信技术提供商|1000-2000人|,段女士
Java开发,南京,,20-40k·20薪,5-10年统招本科,国内某头部证券公司,|基金/证券/投资|已上市|1000-2000人|,刘女士
资深java工程师,南京-建邺区,,20-40k·24薪,经验不限统招本科,某知名头部金融公司,|互联网金融|已上市|5000-10000人|,李先生
高级Java开发工程师,南京,,23-45k·14薪,5-10年统招本科,某互联网国企,|互联网/电商|其他|100-499人|,令女士
高级java开发工程师,南京-建邺区,,30-60k,3-5年本科及以上,某大型互联网金融,|基金/证券/投资|已上市|10000人以上|,严女士
高级java工程师,南京,,20-25k,5-10年本科及以上,知名物流央企平台,|交通/物流/运输|融资未公开|100-499人|,汪女士
java高级开发工程师,南京,,12-20k,3-5年本科及以上,D5渲染器,|互联网/电商|A轮|1-49人|,孙女士
java高级开发工程师,南京,,面议,5-10年统招本科,南京轩恩软件开发有限公司,|计算机软件|融资未公开|50-99人|,叶先生
Java（华为CBG项目）,南京,,11-22k,1-3年统招本科,拍库(北京)科技有限公司,|电子商务|C轮|100-499人|,闪女士
java后端开发,南京,,15-30k·14薪,3-5年本科及以上,亚信科技,|通信业|10000人以上|,王女士
java开发工程师,南京,,15-35k,3-5年本科及以上,皓行科技,|计算机软件|港股上市|10000人以上|,宋先生
JAVA高级开发工程师,南京-雨花台区,,9-15k,3-5年本科及以上,江苏泓航信息技术有限公司,|计算机软件|50-99人|,施女士
JAVA中级开发工程师,南京-雨花台区,,8-15k,1-3年大专及以上,江苏泓航信息技术有限公司,|计算机软件|50-99人|,施女士
java研发工程师,南京,,11-22k·14薪,1-3年统招本科,Flow++,|计算机软件|B轮|100-499人|,陈女士
java高级工程师,南京-江宁区,,15-25k·13薪,5-10年本科及以上,南京讯思雅信息科技有限公司,|计算机软件|,孟女士
java开发工程师,南京-雨花台区,,15-20k·13薪,3-5年统招本科,南京森根科技股份有限公司,|计算机软件|100-499人|,赵女士
资深Java服务器开发,南京,,20-30k,5-10年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
高级Java技术经理（游戏）,南京,,20-30k,3-5年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
高级Java开发（游戏）,南京,,15-25k,3-5年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
Java开发（游戏）,南京,,10-20k,3-5年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
Java技术经理（社区/论坛）,南京,,20-30k,5-10年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
Java开发工程师（社区/论坛）,南京,,15-25k,3-5年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
java,南京-玄武区,,12-25k,3-5年统招本科,环球车享,|互联网/电商|100-499人|,汪女士
java开发,南京-雨花台区,,9-14k,经验不限本科及以上,中科院沈苏公司,|计算机软件|B轮|100-499人|,钱女士
Java开发工程师（出差）,南京-雨花台区,,12-24k,3-5年本科及以上,浩鲸云计算科技股份有限公司,|计算机软件|5000-10000人|,岳女士
Java开发工程师,南京-雨花台区,,12-24k,3-5年本科及以上,浩鲸云计算科技股份有限公司,|计算机软件|5000-10000人|,岳女士
java后端开发工程师,南京-雨花台区,,15-25k·14薪,1-3年统招本科,清研讯科(北京)科技有限公司,|通信业|B轮|100-499人|,黄女士
java开发工程师,南京,,10-11k,3-5年本科及以上,江苏群杰物联科技有限公司,|计算机软件|B轮|100-499人|,李先生
java工程师,南京,,14-18k,3-5年本科及以上,中关村智联软件服务业质量创新联盟,|IT服务|1-49人|,苏女士
中级java开发工程师,南京-雨花台区,,10-17k,3-5年大专及以上,上海谷赢,|IT服务|50-99人|,陈女士
java开发工程师,南京,,25-35k,经验不限本科及以上,紫金集团,|银行|100-499人|,管女士
java软件工程师,南京-雨花台区,,12-16k,3-5年本科及以上,天阳宏业,|计算机软件|已上市|5000-10000人|,王女士
java后端开发,南京,,12-15k·13薪,1-3年本科及以上,华设设计集团股份有限公司,|规划/设计/装潢|已上市|2000-5000人|,查女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Java开发工程师,南京-雨花台区,,12-13k,1-3年本科及以上,南京榕树自动化,|仪器/电气/自动化|1-49人|,俞女士
高级java开发工程师,南京-江宁区,,12-30k,3-5年统招本科,软通动力技术服务,|互联网/电商|10000人以上|,赵先生
Java工程师,南京,,8-15k,3-5年大专及以上,托付保(南京)电力技术有限公司,|能源/水利|50-99人|,魏女士
软件工程师(Java/C++等语言可转),南京,,12-22k·13薪,3-5年本科及以上,慧咨环球(中国)信息技术有限公司,|计算机软件|已上市|100-499人|,臧女士
java开发工程师,南京,,15-30k,3-5年统招本科,软通动力技术服务,|互联网/电商|10000人以上|,刘先生
