职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
（双休不加班）高级java开发工程师,广州-白云区,急聘,15-25k,5-10年大专及以上,新炬网络,|计算机软件|沪深A股上市|1000-2000人|,戴女士
java后端工程师,广州-天河区,急聘,12-20k,5-10年统招本科,华昊文化科技(广州)有限公司,|互联网/电商|50-99人|,叶先生
Java游戏开发工程师,广州-天河区,,15-25k,1-3年大专及以上,乐趣无限,|社交网络|A轮|50-99人|,叶女士
高级java开发工程师,广州-越秀区,,15-20k,5-10年本科及以上,中科汇联,|IT服务|100-499人|,高女士
Bilingual Java Developer,广州,,15-38k,经验不限本科及以上,Michael Page,|人力资源|5000-10000人|,蒋女士
java高级工程师,广州-天河区,,20-30k·13薪,5-10年统招本科,上海比升互联网技术有限公司,|互联网/电商|融资未公开|100-499人|,梁女士
JAVA全栈工程师,广州,,20-30k·13薪,5-10年本科及以上,捷普集团 JABIL,|电子/芯片/半导体|10000人以上|,许女士
java开发主管,广州-荔湾区,,30-60k·15薪,5-10年本科及以上,唯品会(中国),|互联网/电商|美股上市|10000人以上|,HR
（5-8年）Java开发工程师,广州-白云区,,15-20k,5-10年本科及以上,中科汇联,|IT服务|100-499人|,高女士
java开发工程师,广州,,12-22k,3-5年统招本科,深圳市企企通科技有限公司,|互联网+|C轮|500-999人|,任女士
高级Java工程师,广州-天河区,,18-25k,3-5年统招本科,正佳科技集团,|行业Saas|100-499人|,张女士
中级JAVA工程师,广州-天河区,,13-18k,3-5年统招本科,正佳科技集团,|行业Saas|100-499人|,张女士
java开发工程师,广州,,8-15k,经验不限统招本科,高新兴科技集团股份有限公司,|IT服务|已上市|2000-5000人|,许女士
中高级JAVA开发工程师,广州,,15-30k·13薪,5-10年大专及以上,广东明日联合医疗科技有限公司,|大数据行业应用|50-99人|,冯先生
架构师 / JAVA高级开发,广州-荔湾区,,18-30k,5-10年本科及以上,软通动力分支机构,|互联网/电商|10000人以上|,赵女士
后端java开发工程师,广州-南沙区,,15-30k,经验不限本科及以上,润生控股(广东)有限公司,|专业服务|50-99人|,郭女士
软件工程师java,广州-越秀区,,13-22k,1-3年统招本科,法本信息,|IT服务|已上市|10000人以上|,谢女士
高级java开发工程师,广州-海珠区,,18-25k,5-10年本科及以上,广东鼎湖山泉,|快消品|500-999人|,陈女士
java开发工程师（偏中高级，百万级高并发）,广州,,18-28k,3-5年本科及以上,乐摇摇,|行业Saas|D轮|500-999人|,郭女士
高级JAVA工程师(J10780),广州-天河区,,15-25k,3-5年大专及以上,先导稀材科技集团,|石油/化工|2000-5000人|,李女士
Java（高级）,广州,,18-25k,5-10年本科及以上,广州聚超软件科技有限公司,|计算机软件|融资未公开|1-49人|,黄女士
高级java开发工程师,广州-海珠区,,20-25k,5-10年大专及以上,湛蓝科技,|互联网/电商|融资未公开|2000-5000人|,刘先生
java开发,广州-黄埔区,,15-22k·13薪,1-3年统招本科,微位科技,|企业安全|B轮|100-499人|,杨先生
Java,广州-海珠区,,12-20k·13薪,3-5年本科及以上,蜂动科技,|即时通信|A轮|50-99人|,黄女士
java开发工程师,广州-越秀区,,11-18k,3-5年本科及以上,中电金信,|计算机软件|其他|10000人以上|,许女士
后端中级JAVA工程师,广州-天河区,,18-25k,3-5年大专及以上,贤能数科,|互联网金融|50-99人|,黄女士
java开发工程师,广州,,12-17k,3-5年统招本科,壹链盟,|金融科技|战略投资|100-499人|,徐先生
Java卡应用开发工程师 (MJ000245),广州,,15-30k·13薪,3-5年统招本科,中国联通广东省分公司,|通信业|1000-2000人|,黄女士
java开发工程师,广州-黄埔区,,8-16k·15薪,经验不限本科及以上,广电运通金融电子,|计算机软件|已上市|5000-10000人|,关女士
JAVA,广州-黄埔区,,22-30k·13薪,3-5年统招本科,微位科技,|企业安全|B轮|100-499人|,杨先生
高级java开发工程师,广州,,15-25k·13薪,3-5年本科及以上,广州七七游,|游戏开发|融资未公开|100-499人|,黄女士
Java开发工程师 (MJ003200),广州-番禺区,,22-35k·13薪,3-5年统招本科,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
高级java开发工程师,广州-天河区,,20-40k,5-10年大专及以上,94智能,|AI行业应用|A轮|50-99人|,何女士
高级JAVA工程师,广州,,面议,3-5年本科及以上,周生生,|珠宝/玩具/工艺品|5000-10000人|,苏女士
Java架构师 (MJ000023),广州-番禺区,,20-35k,5-10年大专及以上,中大凯旋,|计算机软件|战略投资|100-499人|,巫先生
java工程师,广州-天河区,,10-15k·13薪,3-5年统招本科,广东德生科技股份有限公司,|互联网/电商|中小板上市|1000-2000人|,梁先生
Java开发经理(J10155),广州,,14-20k·13薪,3-5年统招本科,嘉为科技,|企业服务软件|B轮|500-999人|,卢先生
高级java工程师,广州-黄埔区,,25-35k·13薪,5-10年统招本科,微位科技,|企业安全|B轮|100-499人|,林女士
java架构师,广州-番禺区,,20-35k·13薪,5-10年统招本科,广东金朋科技有限公司,|智能家居|100-499人|,廖女士
java开发工程师,广州,,8-13k,1-3年统招本科,广东南方数码科技股份有限公司,|计算机软件|500-999人|,冯先生
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Java工程师,广州,,9-14k,3-5年本科及以上,广东德生科技股份有限公司,|互联网/电商|中小板上市|1000-2000人|,HR
Java开发工程师（高级）,广州,,15-20k,经验不限本科及以上,高新兴科技集团股份有限公司,|IT服务|已上市|2000-5000人|,许女士
软件工程师（JAVA）,广州-花都区,,12-24k,5-10年统招本科,联友科技,|计算机软件|1000-2000人|,王女士
JAVA高级开发工程师 (MJ003530),广州-番禺区,,26-36k·13薪,5-10年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
高级JAVA开发工程师（项目组长）,广州-天河区,,20-30k,3-5年统招本科,深圳市企企通科技有限公司,|互联网+|C轮|500-999人|,冯女士
高级JAVA开发工程师 (MJ002871),广州-番禺区,,25-50k·13薪,3-5年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
资深Java开发工程师 (MJ003060),广州-番禺区,,25-45k·13薪,5-10年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
Java游戏服务端开发工程师,广州,,15-30k·13薪,3-5年本科及以上,广州百田,|游戏开发|已上市|500-999人|,HR
JAVA  开发工程师,广州,,18-20k,5-10年统招本科,汇专科技集团股份有限公司,|机械/机电/重工|500-999人|,HR
高级JAVA开发工程师 (MJ002174),广州-番禺区,,20-30k·13薪,3-5年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
JAVA开发工程师,广州,,15-25k·13薪,3-5年统招本科,广电运通金融电子,|计算机软件|已上市|5000-10000人|,刘先生
java工程师,广州-番禺区,,15-30k·13薪,经验不限统招本科,广州某科技公司,|互联网/电商|A轮|100-499人|,沈先生
中高级Java开发工程师,广州-天河区,,16-24k·16薪,3-5年统招本科,中移互联网有限公司,|云服务|其他|1000-2000人|,贺先生
高级java架构师,广州,,25-40k·15薪,5-10年统招本科,FinTech金融科技公司,|互联网/电商|500-999人|,陈女士
资深java工程师,广州,,20-35k·15薪,经验不限本科及以上,某大型互联网公司,|计算机软件|1000-2000人|,潘女士
java开发工程师,广州,,25-50k·13薪,5-10年大专及以上,大型互联网公司,|互联网/电商|500-999人|,巴女士
云端JAVA工程师,广州,,25-35k·14薪,5-10年本科及以上,某知名全宅智能家居集团公司,|智能家居|500-999人|,廖女士
