职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java后端开发,杭州,,25-35k,经验不限统招本科,大型五百强企业,|互联网+|2000-5000人|,刘女士
java工程师,杭州-拱墅区,,15-25k,1-3年大专及以上,三邦科技,|通信业|100-499人|,王女士
高级java工程师,杭州-余杭区,,18-25k·14薪,3-5年统招本科,海康智联,|IT服务|100-499人|,彭女士
java高级开发工程师,杭州-上城区,,25-45k,3-5年统招本科,杭州某大型电子商务有限公司,|互联网/电商|B轮|100-499人|,张先生
java开发工程师,杭州,,10-17k,1-3年本科及以上,杭州优海信息系统有限公司,|互联网/电商|天使轮|100-499人|,潘先生
Java开发工程师-大数据平台方向,杭州-西湖区,,18-35k·14薪,3-5年本科及以上,软视视频软件(杭州)有限公司,|计算机软件|美股上市|2000-5000人|,刘女士
java,杭州,,10-15k,1-3年本科及以上,浙江金天地通讯工程有限公司,|专业服务|融资未公开|,杨先生
Java专家,杭州,,40-70k·14薪,5-10年学历不限,成都云瑞汇晨科技有限公司,|互联网/电商|100-499人|,程先生
资深java开发工程师,杭州-滨江区,,15-30k,5-10年本科及以上,浙江安厨大数据,|大数据行业应用|融资未公开|100-499人|,尚女士
Java开发工程师（智慧交通）,杭州,,12-18k·20薪,3-5年统招本科,中控信息,|IT服务|500-999人|,刘女士
Java开发工程师,杭州-滨江区,,15-30k·16薪,3-5年本科及以上,浙江华为,|通信业|融资未公开|500-999人|,方先生
java技术经理,杭州,,20-30k,5-10年本科及以上,米友圈,|互联网/电商|融资未公开|100-499人|,赵先生
高级java工程师,杭州,,15-28k·13薪,5-10年本科及以上,米友圈,|互联网/电商|融资未公开|100-499人|,赵先生
JAVA工程师,杭州,,12-15k,5-10年大专及以上,米友圈,|互联网/电商|融资未公开|100-499人|,赵先生
高级java工程师,杭州-滨江区,,15-30k,3-5年统招本科,浙江华为,|通信业|融资未公开|500-999人|,方先生
java开发工程师,杭州-滨江区,,13-18k·13薪,3-5年本科及以上,杭州金蚁电子商务有限公司,|跨境电商|50-99人|,万女士
Java开发工程师,杭州-余杭区,,8-16k·13薪,1-3年统招本科,杭州派迩信息技术有限公司,|计算机软件|A轮|100-499人|,王女士
高级java开发工程师,杭州,,10-18k,5-10年大专及以上,软通动力技术服务,|互联网/电商|10000人以上|,刘先生
高级java开发工程师,杭州,,30-60k·16薪,5-10年统招本科,大厂,|互联网/电商|已上市|10000人以上|,范先生
java高级工程师,杭州,,20-30k,1-3年本科及以上,某科技有限公司,|互联网/电商|100-499人|,徐女士
高级java开发工程师,杭州-滨江区,,20-35k·13薪,5-10年统招本科,浙江某大型健康食品集团,|农林牧渔|其他|1000-2000人|,王先生
高级JAVA研发工程师,杭州,,18-30k·14薪,3-5年统招本科,某知名互联网公司,|企业服务软件|1000-2000人|,杨女士
高级JAVA研发工程师,杭州,,18-30k·14薪,3-5年统招本科,某知名互联网公司,|企业服务软件|1000-2000人|,杨女士
高级JAVA研发工程师,杭州,,18-30k·14薪,3-5年统招本科,某知名互联网公司,|企业服务软件|1000-2000人|,杨女士
java工程师,杭州,,15-30k·13薪,经验不限学历不限,XXXX信息技术(集团)股份有限公司,|IT服务|10000人以上|,杨先生
java开发工程师,杭州,,34-60k·16薪,10年以上统招本科,某新型电商互联网公司,|互联网/电商|2000-5000人|,金先生
高级/资深Java开发工程师,杭州,,20-50k·16薪,经验不限本科及以上,网易集团,|互联网/电商|已上市|10000人以上|,邢先生
Java高级开发工程师,杭州,,20-50k·15薪,3-5年统招本科,硕磐智能,|计算机软件|其他|50-99人|,鲍女士
java高级工程师,杭州-余杭区,,12-15k,3-5年大专及以上,杭州卓软科技有限公司,|计算机软件|100-499人|,施女士
高级java开发工程师,杭州,,15-20k,3-5年大专及以上,杭州卓软科技有限公司,|计算机软件|100-499人|,杜女士
JAVA开发工程师,杭州-上城区,,10-15k,1-3年大专及以上,杭州佳成国际物流股份有限公司,|交通/物流/运输|500-999人|,王女士
JAVA开发工程师,杭州,,15-22k·14薪,3-5年统招本科,金卡智能集团股份有限公司,|行业Saas|创业板上市|2000-5000人|,董女士
FC产品技术部-高级Java开发工程师/Java开发专家-手机天猫,杭州,,面议,3-5年学历不限,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,HR
资深Java工程师,杭州-滨江区,,25-50k·15薪,5-10年统招本科,亿咖通,|计算机/网络设备|B轮|1000-2000人|,王女士
中高级java级工程师,杭州-滨江区,,15-35k,3-5年本科及以上,深圳迅策科技有限公司,|互联网金融|B轮|100-499人|,王女士
高级java开发架构师,杭州,,35-60k·14薪,5-10年本科及以上,硕磐智能,|计算机软件|其他|50-99人|,周先生
高级java开发工程师,杭州,,25-50k·15薪,5-10年本科及以上,硕磐智能,|计算机软件|其他|50-99人|,周先生
java研发工程师,杭州,,12-20k·13薪,3-5年大专及以上,全速网络,|互联网+|1000-2000人|,张先生
阿里妈妈技术-应用系统Java研发专家-北京/杭州,杭州-余杭区,,20-40k·16薪,3-5年统招本科,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,刘女士
java技术专家-资管,杭州-滨江区,,40-65k,10年以上本科及以上,恒生电子,|计算机软件|沪深A股上市|5000-10000人|,汪女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java工程师,杭州-上城区,,13-26k·15薪,1-3年统招本科,金帝联合控股集团有限公司,|房产开发|500-999人|,宋女士
Java,杭州-滨江区,,20-40k,5-10年本科及以上,深圳迅策科技有限公司,|互联网金融|B轮|100-499人|,杜女士
