职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
JAVA高级开发工程师,武汉,急聘,15-25k·14薪,3-5年本科及以上,数势科技,|计算机软件|天使轮|50-99人|,许先生
Senior Engineer,武汉-洪山区,急聘,面议,5-10年本科及以上,德国电信,|IT服务|100-499人|,张雪梅
java后台开发,武汉-洪山区,急聘,面议,3-5年本科及以上,招商证券,|证券|沪深A股上市|10000人以上|,罗先生
Java开发工程师,武汉-江夏区,,10-15k·13薪,3-5年大专及以上,京北方信息,|IT服务|已上市|10000人以上|,周先生
JAVA开发岗,武汉,,15-25k,5-10年本科及以上,良品铺子,|批发零售|10000人以上|,黄女士
java架构师,武汉,,20-30k·14薪,5-10年统招本科,知名SaaS企业,|行业Saas|已上市|100-499人|,任先生
中级java开发工程师,武汉-江夏区,,10-15k,3-5年大专及以上,武汉云于天网络科技有限公司,|互联网+|融资未公开|1-49人|,王先生
高级java开发工程师,武汉,,15-25k,3-5年统招本科,景昉云,|计算机软件|B轮|500-999人|,余女士
开发工程师（Java开发）,武汉-江汉区,,15-25k·13薪,3-5年本科及以上,中国移动在线营销服务中心,|互联网/电商|5000-10000人|,李女士
高级java开发工程师,武汉-洪山区,,14-27k·15薪,5-10年本科及以上,国内某大型互联网公司,|互联网/电商|不需要融资|2000-5000人|,王女士
高级java开发工程师,武汉,,13-25k·16薪,3-5年统招本科,某金融科技公司,|金融科技|战略融资|5000-10000人|,胡女士
高级JAVA开发工程,武汉,,20-40k,3-5年统招本科,某知名金融科技公司,|银行|战略融资|5000-10000人|,李女士
高级JAVA开发工程师,武汉-洪山区,,13-26k·15薪,3-5年统招本科,某银行系金融科技公司,|银行|1000-2000人|,杨女士
高级java开发工程师,武汉,,15-30k·16薪,3-5年统招本科,某银行体系科技公司,|银行|2000-5000人|,成女士
java高级工程师,武汉,,20-35k·16薪,3-5年学历不限,武汉某知名上市企业,|互联网+|已上市|2000-5000人|,刘女士
java中级工程师,武汉-东西湖区,,8-15k·13薪,5-10年统招本科,智配库(武汉)信息科技有限公司,|供应链管理|100-499人|,赵先生
java高级工程师,武汉,,15-20k·16薪,3-5年本科及以上,武汉中海庭数据技术有限公司,|计算机软件|100-499人|,翟先生
高级java工程师,武汉,,12-20k·13薪,5-10年本科及以上,武汉新烽光电股份有限公司,|仪器/电气/自动化|已上市|100-499人|,吴女士
Java开发工程师-楚河汉街,武汉,,11-16k,3-5年本科及以上,京北方信息,|IT服务|已上市|10000人以上|,田女士
高级java开发工程师（武汉）,武汉-江夏区,,15-30k·16薪,5-10年统招本科,泰康保险集团股份有限公司,|保险|10000人以上|,邵女士
java开发工程师,武汉-洪山区,,10-20k,3-5年统招本科,北京永中软件有限公司,|计算机软件|500-999人|,李女士
java后台开发工程师,武汉,,13-18k,1-3年本科及以上,东风悦享科技有限公司,|人工智能|100-499人|,张先生
中级java开发工程师,武汉-洪山区,,12-18k,3-5年本科及以上,益模(重庆)智能制造研究院有限公司,|企业服务软件|1-49人|,廖女士
高级java开发工程师（央企）,武汉,,12-22k,5-10年本科及以上,大唐互联,|互联网/电商|融资未公开|100-499人|,张先生
中级java开发工程师（央企）,武汉,,10-16k,3-5年本科及以上,大唐互联,|互联网/电商|融资未公开|100-499人|,张先生
