职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
（高级）开发技术经理,深圳,急聘,面议,5-10年本科及以上,中信银行国际（中国）有限公司,|银行|100-499人|,赵女士
java开发工程师,深圳,急聘,13-32k·17薪,3-5年统招本科,开泰科技,|金融科技|100-499人|,刘女士
后台开发工程师 (MJ000039),深圳-南山区,急聘,18-25k·14薪,3-5年统招本科,金贝塔网络金融科技(深圳)有限公司,|基金/证券/投资|100-499人|,黎先生
高级java开发工程师,深圳-福田区,,28k,5-10年统招本科,民太安财险公估,|保险|新三板上市|2000-5000人|,吴女士
JAVA开发工程师,深圳-南山区,,面议,5-10年统招本科,德世普安管理咨询(上海)有限公司,|专业服务|100-499人|,童女士
高级开发工程师（C++或JAVA）,深圳,,20-25k,1-3年本科及以上,深圳证券通信有限公司,|IT服务|500-999人|,李先生
后端开发工程师,深圳,,20-40k,3-5年本科及以上,深圳元戎启行科技有限公司,|计算机软件|B轮|100-499人|,郑女士
Java（互联网）,深圳-宝安区,,20-32k,3-5年大专及以上,佰钧成技术,|计算机软件|融资未公开|5000-10000人|,马女士
java,深圳-福田区,,15-27k,经验不限大专及以上,中科软,|计算机软件|已上市|5000-10000人|,袁女士
java开发工程师,深圳,,20-35k·20薪,3-5年统招本科,某知名外资企业,|互联网/电商|融资未公开|1000-2000人|,陈先生
Java专家,深圳,,40-70k·14薪,5-10年学历不限,成都云瑞汇晨科技有限公司,|互联网/电商|100-499人|,程先生
java后台开发工程师,深圳-南山区,,20-30k·16薪,3-5年本科及以上,Amber AI Limited,|金融科技|B轮|100-499人|,余女士
java开发,深圳-南山区,,10-16k·14薪,3-5年统招本科,深圳市广和通无线股份有限公司,|计算机/网络设备|已上市|1000-2000人|,周女士
java开发,深圳,,12-18k·13薪,3-5年统招本科,赛意信息,|计算机软件|创业板上市|2000-5000人|,黄女士
高级java开发工程师,深圳-南山区,,15-25k·13薪,5-10年统招本科,前海数据,|大数据|融资未公开|100-499人|,张先生
Java开发工程师,深圳,,9-13k,1-3年本科及以上,深圳市普罗医学股份有限公司,|医疗器械|100-499人|,张女士
Java,深圳-南山区,,15-25k·14薪,3-5年统招本科,深圳市江波龙电子股份有限公司,|电子/芯片/半导体|1000-2000人|,董女士
高级JAVA开发工程师,深圳,,30-50k,5-10年本科及以上,金蝶,|互联网/电商|已上市|5000-10000人|,蒋女士
Java开发高级工程师,深圳,,18-22k,5-10年本科及以上,美国K2软件(中国),|计算机软件|融资未公开|100-499人|,许女士
高级java开发工程师,深圳,,15-30k,5-10年统招本科,银盛支付,|互联网/电商|1000-2000人|,林女士
