职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java中级开发工程师,苏州,急聘,18-20k,5-10年统招本科,苏州公约树,|计算机软件|融资未公开|1-49人|,曹女士
java开发工程师,苏州-吴中区,,15-20k,3-5年学历不限,亨通,|通信设备|融资未公开|10000人以上|,周先生
高级java开发工程师,苏州,,20-30k,5-10年本科及以上,上海创鹰网络科技有限公司,|IT服务|1-49人|,王女士
中级Java工程师,苏州,,16-20k,1-3年本科及以上,上海创鹰网络科技有限公司,|IT服务|1-49人|,王女士
Senior Software Engineer (Java),苏州-工业园区,,面议,5-10年学历不限,亿磐系统（深圳）有限公司,|计算机软件|已上市|10000人以上|,李女士
Software Engineer (Java),苏州-工业园区,,面议,1-3年学历不限,亿磐系统（深圳）有限公司,|计算机软件|已上市|10000人以上|,李女士
java开发工程师,苏州-虎丘区,,9-12k·13薪,1-3年本科及以上,苏州万店掌网络科技有限公司,|计算机软件|C轮|100-499人|,钱女士
Java工程师,苏州-工业园区,,8-20k·14薪,1-3年统招本科,医药魔方,|制药/生物工程|B轮|50-99人|,张女士
后端开发工程师（JAVA开发工程师),苏州,,10-15k,3-5年本科及以上,冠鸿智能,|机器人|100-499人|,刘先生
后端开发工程师（JAVA开发工程师,苏州-吴中区,,10-11k,3-5年本科及以上,冠鸿智能,|机器人|100-499人|,王女士
高级Java工程师（后台）(TJ0006),苏州-工业园区,,15-30k,5-10年本科及以上,万得,|互联网/电商|其他|2000-5000人|,姚女士
高级JAVA软件工程师(TJ0003),苏州-工业园区,,15-30k,3-5年统招本科,万得,|互联网/电商|其他|2000-5000人|,姚女士
Java架构师(TJ0005),苏州-工业园区,,15-30k,10年以上统招本科,万得,|互联网/电商|其他|2000-5000人|,姚女士
后端java工程师（物联网）,苏州-姑苏区,,20-30k,3-5年学历不限,苏州上市j集团公司(建筑装饰),|互联网/电商|10000人以上|,孙女士
高级java开发工程师,苏州,,20-40k,3-5年学历不限,某知名金融科技公司,|银行|战略融资|5000-10000人|,李女士
java,苏州,,20-35k,5-10年统招本科,某大型互联网公司,|互联网/电商|C轮|500-999人|,夏女士
java工程师,苏州,,15-30k·14薪,5-10年本科及以上,某在线调研公司,|互联网/电商|C轮|100-499人|,陈女士
java后端工程师,苏州-相城区,,20-35k·13薪,5-10年统招本科,江苏集萃苏科思科技有限公司,|计算机软件|50-99人|,王女士
Software Technical Leader- Back-end (Java),苏州-相城区,,28-35k·13薪,5-10年硕士及以上,江苏集萃苏科思科技有限公司,|计算机软件|50-99人|,张女士
java开发工程师,苏州-工业园区,,8-16k,1-3年统招本科,苏州伊欧陆系统集成有限公司,|电子/芯片/半导体|50-99人|,刘女士
Java开发工程师,苏州-相城区,,15-20k,1-3年本科及以上,苏州高铁新城人力资源管理有限公司,|专业服务|1-49人|,顾先生
java开发工程师,苏州-工业园区,,10-20k,1-3年统招本科,苏州伊欧陆系统集成有限公司,|电子/芯片/半导体|50-99人|,朱女士
后端Java开发工程师,苏州-相城区,,10-20k,1-3年本科及以上,苏州高铁新城人力资源管理有限公司,|专业服务|1-49人|,顾先生
Java开发(J10109),苏州,,10-20k,3-5年统招本科,建信金融科技有限责任公司,|计算机软件|5000-10000人|,孙女士
Java开发工程师（昆山）,苏州-昆山,,5-8k,1-3年大专及以上,网新恩普,|计算机软件|已上市|1000-2000人|,洪女士
Java开发工程师,苏州,,20-25k·13薪,3-5年大专及以上,知名互联网公司,|计算机软件|1000-2000人|,汪女士
java开发,苏州,,15-20k·14薪,3-5年学历不限,上海众言网络科技有限公司,|企业服务软件|500-999人|,周女士
java工程师,苏州,,20-25k,3-5年本科及以上,苏州某科技股份公司,|智能安防|已上市|2000-5000人|,刘女士
java后端开发工程师,苏州-常熟,,20-23k·15薪,5-10年统招本科,德国大型清洁技术有限公司,|家具/家电|10000人以上|,朱女士
JAVA,苏州,,18-35k,5-10年统招本科,某IT公司,|企业服务软件|融资未公开|1-49人|,邢女士
Java工程师(开发),苏州,,10-30k·13薪,经验不限统招本科,苏州恩巨网络有限公司,|计算机软件|50-99人|,王女士
资深Java开发工程师（低代码）,苏州-虎丘区,,15-30k·13薪,5-10年大专及以上,苏州万店掌网络科技有限公司,|计算机软件|C轮|100-499人|,钱女士
java工程师,苏州,,12-13k·15薪,3-5年本科及以上,博众精工科技股份有限公司,|机械/机电/重工|5000-10000人|,刘女士
java开发工程师,苏州,,15-25k,3-5年本科及以上,赛福基因,|制药/生物工程|100-499人|,沈女士
java开发工程师,苏州-工业园区,,6-12k·15薪,3-5年本科及以上,帕诺米克,|制药/生物工程|100-499人|,张女士
资深java工程师,苏州,,14-24k·13薪,5-10年本科及以上,苏州迈科网络安全技术股份有限公司,|数据服务商|融资未公开|50-99人|,张玉
对日JAVA软件开发(中高级SE),苏州,,13-20k,3-5年大专及以上,辛巴达软件,|计算机软件|100-499人|,赵先生
对日JAVA软件开发(初中级),苏州,,6-13k·13薪,1-3年大专及以上,辛巴达软件,|计算机软件|100-499人|,赵先生
java工程师,苏州-工业园区,,10-15k·16薪,3-5年统招本科,苏州工业园区咖乐美电器有限公司,|机械设备制造|融资未公开|100-499人|,杨女士
对日JAVA软件开发(中高级SE),苏州,,13-20k·13薪,3-5年大专及以上,上海达巴辛,|计算机软件|100-499人|,赵先生
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
对日JAVA软件开发(初中级),苏州,,6-13k·13薪,1-3年大专及以上,求贤宝,|IT服务|100-499人|,黄女士
对日JAVA软件开发(中高级SE),苏州,,13-20k·13薪,3-5年大专及以上,求贤宝,|IT服务|100-499人|,黄女士
初级JAVA开发工程师,苏州,,8-17k,1-3年本科及以上,中网云智(深圳)科技有限公司,|IT服务|100-499人|,胡先生
java研发工程师,苏州-工业园区,,10-20k·15薪,3-5年统招本科,苏州波影医疗技术有限公司,|专业服务|100-499人|,付女士
JAVA WEB 开发工程师,苏州,,7-15k,一年以下本科及以上,立臻科技(昆山)有限公司,|电子/芯片/半导体|10000人以上|,单女士
java软件工程师,苏州-相城区,,10-15k,1-3年本科及以上,仕净科技,|环保|500-999人|,姚先生
java架构师,苏州,,27-40k,10年以上统招本科,苏州涟漪信息科技有限公司,|互联网/电商|A轮|1-49人|,刘先生
java开发工程师,苏州-工业园区,,12-15k,1-3年本科及以上,新格元(南京)生物科技有限公司,|制药/生物工程|100-499人|,韦女士
java开发工程师,苏州,,15-25k,3-5年统招本科,江苏梦嘉控股集团有限公司,|文娱/内容平台|融资未公开|500-999人|,王先生
Java后端工程师-应届生,苏州,,6-10k,1-3年本科及以上,胜科纳米(苏州)有限公司,|检测/认证|B轮|100-499人|,牛女士
Java开发工程师,苏州,,15-25k,5-10年大专及以上,江苏梦嘉控股集团有限公司,|文娱/内容平台|融资未公开|500-999人|,方先生
Java开发leader,苏州-昆山,,20-25k·14薪,5-10年大专及以上,凯捷咨询(中国)有限公司,|专业服务|2000-5000人|,吴先生
java后端工程师,苏州-工业园区,,20-30k,5-10年本科及以上,胜科纳米(苏州)有限公司,|检测/认证|B轮|100-499人|,牛女士
java后端工程师,苏州,,20-30k,3-5年本科及以上,胜科纳米(苏州)有限公司,|检测/认证|B轮|100-499人|,牛女士
Java,苏州-姑苏区,,20-30k,3-5年本科及以上,苏州上市j集团公司(建筑装饰),|互联网/电商|10000人以上|,孙女士
java架构师,苏州-姑苏区,,20-40k,5-10年统招本科,苏州上市j集团公司(建筑装饰),|互联网/电商|10000人以上|,孙女士
java,苏州,,20-30k,5-10年本科及以上,某大型上市企业,|IT服务|融资未公开|10000人以上|,肖先生
Java资深工程师/架构师,苏州-虎丘区,,20-25k·14薪,3-5年本科及以上,地方知名科技公司,|大数据行业应用|已上市|100-499人|,董女士
java高级工程师,苏州-工业园区,,15-30k,5-10年本科及以上,某科技股份有限公司,|互联网+|已上市|5000-10000人|,邵女士
Java资深工程师/架构师,苏州-姑苏区,,22-40k·14薪,3-5年统招本科,朗捷通,|房地产/建筑|500-999人|,姜先生
java开发工程师,苏州,,20-40k·15薪,3-5年统招本科,某知名公司,|大数据|融资未公开|1000-2000人|,黄女士
初级java开发工程师,苏州,,10-15k·15薪,1-3年大专及以上,某股份有限公司,|银行|融资未公开|100-499人|,李女士
高级java工程师,苏州,,40-50k·13薪,3-5年大专及以上,某互联网公司,|互联网/电商|500-999人|,刘女士
java软件开发工程师,苏州,,20-40k,5-10年统招本科,某运营商下属研究院,|IT服务|1000-2000人|,杨女士
JAVA开发工程师,苏州-吴江区,,12-18k,3-5年本科及以上,亨通数字智能,|通信业|50-99人|,凌先生
JAVA开发工程师,苏州-吴江区,,12-20k,3-5年统招本科,亨通集团,|通信基础设施|融资未公开|1000-2000人|,王女士
java,苏州-相城区,,9-16k,1-3年本科及以上,浙江金天地通讯工程有限公司,|专业服务|融资未公开|,陈女士
java,苏州,,20-30k·14薪,5-10年学历不限,外资百强,|计算机软件|融资未公开|10000人以上|,邬女士
java,苏州,,20-30k·14薪,5-10年学历不限,外资百强,|计算机软件|融资未公开|10000人以上|,邬女士
java高级开发工程师,苏州,,12-13k·13薪,1-3年本科及以上,苏州合力企业管理咨询服务有限公司,|人力资源|融资未公开|50-99人|,黄女士
java开发工程师,苏州-吴江区,,8-12k,3-5年大专及以上,南京云旭和信息科技有限公司,|计算机软件|A轮|50-99人|,万女士
java开发工程师,苏州,,15-20k·13薪,5-10年大专及以上,上海电享信息科技有限公司,|计算机软件|A轮|50-99人|,王女士
java开发工程师,苏州,,18-22k·13薪,5-10年统招本科,苏州云极客信息技术有限公司,|互联网/电商|50-99人|,杨女士
Java 架构师,苏州-工业园区,,20-40k,5-10年本科及以上,苏州某信息科技有限责任公司,|IT服务|100-499人|,段女士
Java,苏州-相城区,,15-25k,经验不限学历不限,四叶草(苏州)智能科技有限公司,|计算机软件|1-49人|,陈女士
java高级软件工程师,苏州,,12-15k,1-3年大专及以上,苏州市星辰新材料集团有限公司,|印刷/包装/造纸|其他|500-999人|,李女士
初级java开发工程师,苏州,,8-13k·13薪,经验不限本科及以上,江苏集萃中科先进光电技术研究所有限公司,|行业解决方案|1-49人|,庄女士
高级java开发工程师,苏州,,18-30k·13薪,5-10年本科及以上,江苏集萃中科先进光电技术研究所有限公司,|行业解决方案|1-49人|,庄女士
JAVA开发工程师,苏州-工业园区,,12-19k·16薪,3-5年本科及以上,景昱,|医疗器械|D轮|100-499人|,吴女士
Java软件工程师,苏州,,10-15k,1-3年统招本科,英腾物流科技,|仪器/电气/自动化|其他|1-49人|,汪女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java开发工程师【苏州】,苏州,,15-18k,3-5年本科及以上,博云,|计算机软件|D轮|500-999人|,韩女士
java后端开发,苏州-工业园区,,18-22k,3-5年本科及以上,差旅管家Tripwise,|互联网/电商|天使轮|50-99人|,吴女士
技术经理（java）,苏州-工业园区,,18-25k,5-10年本科及以上,储慧智能,|计算机软件|1-49人|,舒女士
资深Java开发工程师（Restful),苏州,,15-25k,3-5年统招本科,盟拓软件,|计算机软件|500-999人|,郝女士
Java云平台后端开发工程师（2022届校招）,苏州-工业园区,,7-15k,一年以下统招本科,博云,|计算机软件|D轮|500-999人|,韩女士
java软件开发工程师,苏州,,8-10k,经验不限学历不限,睿逸智能科技(苏州)有限公司,|互联网/电商|,贾先生
中级java开发工程师,苏州-虎丘区,,12-18k,3-5年本科及以上,中科院沈苏公司,|计算机软件|B轮|100-499人|,贾女士
java高级工程师,苏州-相城区,,15-35k·15薪,5-10年本科及以上,中国电信股份有限公司网络安全产品运营中心,|通信业|50-99人|,刘先生
Java开发工程师,苏州-相城区,,10-20k·15薪,3-5年本科及以上,中国电信股份有限公司网络安全产品运营中心,|通信业|50-99人|,刘先生
Java资深开发工程师,苏州-昆山,,15-22k,1-3年大专及以上,适途汽车,|计算机软件|500-999人|,董女士
java开发工程师,苏州-吴中区,,30-60k,3-5年本科及以上,深圳市优必选科技股份有限公司,|计算机/网络设备|1000-2000人|,宋女士
java工程师,苏州-昆山,,15-18k,3-5年大专及以上,和君纵达数据科技有限公司,|AI行业应用|2000-5000人|,刘先生
java开发工程师,苏州-工业园区,,18-25k·13薪,经验不限统招本科,极目机器人,|工业自动化|C轮|100-499人|,王女士
Application Engineer (Java),苏州-虎丘区,,8-12k·13薪,1-3年本科及以上,瓦锡兰中国,|机械/机电/重工|融资未公开|1000-2000人|,徐女士
高级java工程师,苏州-吴中区,,16-22k,5-10年本科及以上,上海度普新能源科技有限公司,|新能源|100-499人|,张女士
java后端开发工程师,苏州-虎丘区,,8-15k,1-3年大专及以上,苏州比格威医疗科技有限公司,|计算机软件|A轮|50-99人|,倪女士
java工程师,苏州,,6-11k·13薪,1-3年大专及以上,上海哥瑞利软件股份有限公司,|ERP|融资未公开|100-499人|,HR
资深java开发工程师,苏州-姑苏区,,15-22k·13薪,5-10年本科及以上,苏州泰克赛威网络科技有限公司,|计算机软件|融资未公开|50-99人|,朱女士
JAVA开发工程师G00124,苏州-虎丘区,,7-12k·13薪,1-3年本科及以上,苏州纽威集团,|机械/机电/重工|沪深A股上市|2000-5000人|,唐女士
java开发工程师,苏州,,5-10k,1-3年大专及以上,飞力达物流,|交通/物流/运输|沪深A股上市|5000-10000人|,刘女士
