rank,name,director,score,score_num,quote
1,肖申克的救赎,弗兰克·德拉邦特,9.7,2499675,希望让人自由。
2,霸王别姬,陈凯歌,9.6,1858280,风华绝代。
3,阿甘正传,罗伯特·泽米吉斯,9.5,1878109,一部美国近现代史。
4,这个杀手不太冷,吕克·贝松,9.4,2040097,怪蜀黍和小萝莉不得不说的故事。
5,泰坦尼克号,詹姆斯·卡梅隆,9.4,1839709,失去的才是永恒的。 
6,美丽人生,罗伯托·贝尼尼,9.6,1151462,最美的谎言。
7,千与千寻,宫崎骏,9.4,1959353,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,史蒂文·斯皮尔伯格,9.5,960326,拯救一个人，就是拯救整个世界。
9,盗梦空间,克里斯托弗·诺兰,9.3,1804261,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,莱塞·霍尔斯道姆,9.4,1239020,永远都不能忘记你所爱的人。
11,星际穿越,克里斯托弗·诺兰,9.3,1483031,爱是一种力量，让我们超越时空感知它的存在。
12,楚门的世界,彼得·威尔,9.3,1404679,如果再也不能见到你，祝你早安，午安，晚安。
13,海上钢琴师,朱塞佩·托纳多雷,9.3,1466197,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,拉库马·希拉尼,9.2,1641685,英俊版憨豆，高情商版谢耳朵。
15,机器人总动员,安德鲁·斯坦顿,9.3,1156116,小瓦力，大人生。
16,放牛班的春天,克里斯托夫·巴拉蒂,9.3,1141263,天籁一般的童声，是最接近上帝的存在。 
17,无间道,刘伟强,9.3,1136665,香港电影史上永不过时的杰作。
18,疯狂动物城,拜伦·霍华德,9.2,1634447,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,大话西游之大圣娶亲,刘镇伟,9.2,1338179,一生所爱。
20,熔炉,黄东赫,9.3,813714,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,教父,弗朗西斯·福特·科波拉,9.3,818669,千万不要记恨你的对手，这样会让你失去理智。
22,当幸福来敲门,加布里尔·穆奇诺,9.2,1325852,平民励志片。 
23,控方证人,比利·怀尔德,9.6,410180,比利·怀德满分作品。
24,龙猫,宫崎骏,9.2,1106638,人人心中都有个龙猫，童年就永远不会消失。
25,怦然心动,罗伯·莱纳,9.1,1584473,真正的幸福是来自内心深处。
26,触不可及,奥利维·那卡什,9.3,896586,满满温情的高雅喜剧。
27,末代皇帝,贝纳尔多·贝托鲁奇,9.3,724197,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
28,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,9.2,908286,无尽的黑暗。
29,寻梦环游记,李·昂克里奇,9.1,1400191,死亡不是真的逝去，遗忘才是永恒的消亡。
30,活着,张艺谋,9.3,708510,张艺谋最好的电影。
31,指环王3：王者无敌,彼得·杰克逊,9.3,693782,史诗的终章。
32,哈利·波特与魔法石,Chris,9.1,971521,童话世界的开端。
33,乱世佳人,维克多·弗莱明,9.3,599747,Tomorrow is another day.
34,素媛,李濬益,9.3,582879,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
35,飞屋环游记,彼特·道格特,9.1,1154468,最后那些最无聊的事情，才是最值得怀念的。 
36,何以为家,娜丁·拉巴基,9.1,889513,凝视卑弱生命，用电影改变命运。
37,摔跤吧！爸爸,涅提·蒂瓦里,9.0,1370318,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
38,十二怒汉,Sidney,9.4,405687,1957年的理想主义。 
39,哈尔的移动城堡,宫崎骏,9.1,868956,带着心爱的人在天空飞翔。
40,我不是药神,文牧野,9.0,1823979,对我们国家而言，这样的电影多一部是一部。
41,少年派的奇幻漂流,李安,9.1,1195686,瑰丽壮观、无人能及的冒险之旅。
42,鬼子来了,姜文,9.3,536069,对敌人的仁慈，就是对自己残忍。
43,大话西游之月光宝盒,刘镇伟,9.0,1066282,旷古烁今。
44,天空之城,宫崎骏,9.1,721132,对天空的追逐，永不停止。 
45,天堂电影院,朱塞佩·托纳多雷,9.2,596631,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
46,猫鼠游戏,史蒂文·斯皮尔伯格,9.1,808038,骗子大师和执著警探的你追我跑故事。 
47,闻香识女人,马丁·布莱斯,9.1,749319,史上最美的探戈。
48,指环王2：双塔奇兵,彼得·杰克逊,9.2,646388,承前启后的史诗篇章。
49,罗马假日,威廉·惠勒,9.1,839464,爱情哪怕只有一天。
50,钢琴家,罗曼·波兰斯基,9.2,498875,音乐能化解仇恨。
51,让子弹飞,姜文,8.9,1434034,你给我翻译翻译，神马叫做TMD的惊喜。
52,指环王1：护戒使者,彼得·杰克逊,9.1,732865,传说的开始。
53,辩护人,杨宇硕,9.2,520436,电影的现实意义大过电影本身。
54,大闹天宫,万籁鸣,9.4,363942,经典之作，历久弥新。
55,教父2,弗朗西斯·福特·科波拉,9.2,461535,优雅的孤独。
56,狮子王,Roger,9.1,718738,动物版《哈姆雷特》。
57,死亡诗社,彼得·威尔,9.1,605282,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
58,黑客帝国,安迪·沃卓斯基,9.1,711202,视觉革命。
59,海蒂和爷爷,阿兰·葛斯彭纳,9.3,430910,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
60,搏击俱乐部,大卫·芬奇,9.0,734020,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
61,绿皮书,彼得·法雷里,8.9,1365667,去除成见，需要勇气。
62,饮食男女,李安,9.1,519599,人生不能像做菜，把所有的料都准备好了才下锅。
